Entity,Code,Year,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Primary energy consumption per capita (kWh/person),Population (historical estimates),Continent
Afghanistan,AFG,2021,35.4,676.6956,40099460.0,
Africa,,2021,,4027.1172,1393676724.0,
Angola,AGO,2021,50.0,2791.3318,34503776.0,
Asia,,2021,,18812.572,4693332132.0,
Bangladesh,BGD,2021,26.5,2831.1619,169356240.0,
Bosnia and Herzegovina,BIH,2021,41.65,23013.498,3270948.0,
Botswana,BWA,2021,65.7,9385.398,2588424.0,
Brazil,BRA,2021,96.5,16659.977,214326224.0,
Cape Verde,CPV,2021,81.8,7249.497,587936.0,
Chad,TCD,2021,8.0,361.1612,17179744.0,
China,CHN,2021,83.2,30768.826,1425893504.0,
Comoros,COM,2021,11.3,1633.7837,821632.0,
Congo,COG,2021,35.6,2348.0115,5835814.0,
Cote d'Ivoire,CIV,2021,31.7,2370.5964,27478250.0,
Egypt,EGY,2021,99.9,9639.12,109262184.0,
El Salvador,SLV,2021,92.7,7076.433,6314165.0,
Equatorial Guinea,GNQ,2021,24.1,12399.339,1634473.0,
Ethiopia,ETH,2021,7.5,871.5845,120283024.0,
Europe,,2021,,40415.152,746417727.0,
Georgia,GEO,2021,90.6,20834.768,3757984.0,
Guatemala,GTM,2021,48.1,5712.118,17608484.0,
India,IND,2021,71.1,6809.62,1407563904.0,
Indonesia,IDN,2021,86.9,7871.8433,273753184.0,
Iraq,IRQ,2021,99.3,13267.278,43533592.0,
Japan,JPN,2021,100.0,39995.086,124612528.0,
Kenya,KEN,2021,23.9,1952.6938,53005616.0,
Kyrgyzstan,KGZ,2021,78.2,9274.61,6527742.0,
Laos,LAO,2021,9.3,18847.086,7425055.0,
Lesotho,LSO,2021,41.1,2132.8137,2281464.0,
Mali,MLI,2021,0.9,1168.5671,21904990.0,
Mexico,MEX,2021,84.6,17515.205,126705136.0,
Mongolia,MNG,2021,53.0,22407.674,3347782.0,
Montenegro,MNE,2021,62.0,18940.291,627856.0,
Mozambique,MOZ,2021,5.4,2241.226,32077074.0,
Myanmar,MMR,2021,43.5,3064.8484,53798088.0,
Nepal,NPL,2021,35.2,1607.6346,30034988.0,
Nicaragua,NIC,2021,57.4,4265.2705,6850546.0,
Niger,NER,2021,3.0,409.75702,25252722.0,
Nigeria,NGA,2021,16.8,2547.9543,213401328.0,
North America,,2021,,54584.87,597123384.0,
North Korea,PRK,2021,12.5,3833.9539,25971910.0,
Oceania,,2021,,41087.69,44492065.0,
Pakistan,PAK,2021,50.7,4683.573,231402112.0,
Paraguay,PRY,2021,69.8,15782.273,6703802.0,
Qatar,QAT,2021,100.0,199419.2,2688239.0,
Russia,RUS,2021,72.9,60271.016,145102752.0,
Samoa,WSM,2021,37.2,7302.089,218781.0,
Serbia,SRB,2021,80.6,27640.852,7296771.0,
Somalia,SOM,2021,3.8,217.40976,17065588.0,
South America,,2021,,16192.434,434254167.0,
Sri Lanka,LKA,2021,32.6,4884.5293,21773438.0,
Sudan,SDN,2021,62.8,2317.3928,45657204.0,
Syria,SYR,2021,96.3,5507.217,21324366.0,
Turkey,TUR,2021,95.4,22817.182,84775408.0,
Uganda,UGA,2021,0.7,766.84607,45853780.0,
United States,USA,2021,100.0,76988.75,336997632.0,
Yemen,YEM,2021,61.3,1080.0393,32981644.0,
