Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Daily protein supply (FAO (2017)),Continent
Afghanistan,AFG,2013,3.9,58.25,
Albania,ALB,2013,20.5,111.42,
Algeria,DZA,2013,23.9,91.96,
Angola,AGO,2013,5.9,57.26,
Antigua and Barbuda,ATG,2013,17.5,83.71,
Argentina,ARG,2013,26.9,102.64,
Armenia,ARM,2013,19.0,90.04,
Australia,AUS,2013,28.5,106.28,
Austria,AUT,2013,20.5,106.21,
Bahamas,BHS,2013,30.3,86.62,
Belgium,BEL,2013,23.3,99.59,
Belize,BLZ,2013,20.5,73.27,
Benin,BEN,2013,7.3,64.43,
Bolivia,BOL,2013,17.3,66.01,
Botswana,BWA,2013,15.0,64.86,
Brunei,BRN,2013,12.9,93.41,
Bulgaria,BGR,2013,25.8,83.53,
Burkina Faso,BFA,2013,3.8,79.38,
Cameroon,CMR,2013,8.4,69.96,
China,CHN,2013,5.5,98.04,
Colombia,COL,2013,20.5,64.38,
Congo,COG,2013,7.4,51.66,
Costa Rica,CRI,2013,23.2,75.07,
Cyprus,CYP,2013,21.3,77.61,
Djibouti,DJI,2013,11.1,65.86,
Dominica,DMA,2013,26.2,76.25,
Dominican Republic,DOM,2013,24.3,58.2,
Eswatini,SWZ,2013,12.4,58.6,
Fiji,FJI,2013,27.9,73.6,
Finland,FIN,2013,23.6,117.72,
France,FRA,2013,22.0,110.52,
Gabon,GAB,2013,12.3,86.63,
Greece,GRC,2013,25.9,108.8,
Haiti,HTI,2013,18.0,47.72,
Iceland,ISL,2013,21.8,133.54,
Indonesia,IDN,2013,5.8,62.18,
Iran,IRN,2013,22.8,87.28,
Israel,ISR,2013,25.6,128.14,
Japan,JPN,2013,3.9,87.73,
Jordan,JOR,2013,31.0,79.59,
Kazakhstan,KAZ,2013,19.3,96.41,
Kiribati,KIR,2013,43.7,73.33,
Kuwait,KWT,2013,34.9,108.24,
Laos,LAO,2013,3.6,68.9,
Lebanon,LBN,2013,29.3,79.71,
Lesotho,LSO,2013,12.3,73.52,
Liberia,LBR,2013,7.6,37.66,
Lithuania,LTU,2013,27.1,124.49,
Madagascar,MDG,2013,3.8,46.67,
Maldives,MDV,2013,6.3,122.43,
Mali,MLI,2013,6.2,85.2,
Mauritania,MRT,2013,10.1,84.96,
Moldova,MDA,2013,18.7,71.41,
Mozambique,MOZ,2013,5.3,45.7,
Oman,OMN,2013,20.6,88.25,
Samoa,WSM,2013,43.6,85.53,
Sao Tome and Principe,STP,2013,9.3,53.08,
Saudi Arabia,SAU,2013,32.4,91.63,
Slovenia,SVN,2013,21.1,96.19,
Tunisia,TUN,2013,24.9,98.59,
Turkmenistan,TKM,2013,15.5,90.49,
Uruguay,URY,2013,27.3,92.44,
Vietnam,VNM,2013,1.6,81.61,
Zimbabwe,ZWE,2013,11.3,48.35,
