Entity,Code,Year,"Estimated average age at marriage, women"
Iran,IRN,1986,20.200001
Niger,NER,2000,17.700001
Niger,NER,2015,17.200001
Norway,NOR,1990,26.4
Norway,NOR,1995,27.5
Norway,NOR,2000,28.4
Norway,NOR,2010,30.799999
Norway,NOR,2015,31.9
Norway,NOR,2017,32.299999
Portugal,PRT,1995,24.5
Portugal,PRT,2000,25.200001
Portugal,PRT,2005,26.299999
Portugal,PRT,2010,27.700001
Portugal,PRT,2015,30.200001
Portugal,PRT,2017,30.700001
Saudi Arabia,SAU,2017,26.6
Sweden,SWE,1990,27.700001
Sweden,SWE,2000,30.4
Sweden,SWE,2005,31.700001
Sweden,SWE,2010,32.700001
Sweden,SWE,2015,33.599998
Sweden,SWE,2017,33.799999
Turkey,TUR,2010,23.799999
Turkey,TUR,2015,24.5
Turkey,TUR,2017,24.799999
United Kingdom,GBR,1990,25.200001
United Kingdom,GBR,1995,26.799999
United Kingdom,GBR,2000,28.200001
United Kingdom,GBR,2005,29.5
United Kingdom,GBR,2010,30.0
United Kingdom,GBR,2015,31.200001
United States,USA,1990,23.9
United States,USA,1995,24.5
United States,USA,2000,25.1
United States,USA,2005,25.299999
United States,USA,2010,26.1
United States,USA,2015,27.1
United States,USA,2017,27.4
Zimbabwe,ZWE,2005,20.799999
Zimbabwe,ZWE,2010,20.6
Zimbabwe,ZWE,2015,20.200001
Zimbabwe,ZWE,2017,21.1
