Entity,Code,Year,Deaths - All causes - Sex: Both - Age: Age-standardized (Rate)
Austria,AUT,1990,706.74
Austria,AUT,1995,647.2
Austria,AUT,2000,580.3
Austria,AUT,2005,524.05
Austria,AUT,2010,473.62
Austria,AUT,2015,444.74
Austria,AUT,2019,420.8
Brunei,BRN,1990,1234.22
Brunei,BRN,1995,1069.68
Brunei,BRN,2000,1056.7
Brunei,BRN,2005,1029.59
Brunei,BRN,2010,934.12
Brunei,BRN,2015,926.95
Brunei,BRN,2019,867.63
China,CHN,1990,1127.42
China,CHN,1995,1035.71
China,CHN,2000,956.34
China,CHN,2005,885.02
China,CHN,2010,785.47
China,CHN,2015,678.79
China,CHN,2019,634.33
Democratic Republic of Congo,COD,1990,1783.4
Democratic Republic of Congo,COD,1995,1823.54
Democratic Republic of Congo,COD,2000,1807.28
Democratic Republic of Congo,COD,2005,1680.43
Democratic Republic of Congo,COD,2010,1541.29
Democratic Republic of Congo,COD,2015,1329.51
Democratic Republic of Congo,COD,2019,1219.79
Egypt,EGY,1990,1336.76
Egypt,EGY,1995,1210.83
Egypt,EGY,2000,1094.73
Egypt,EGY,2005,1151.97
Egypt,EGY,2010,1100.47
Egypt,EGY,2015,1095.98
Egypt,EGY,2019,1022.93
Germany,DEU,1990,725.92
Germany,DEU,1995,657.35
Germany,DEU,2000,581.24
Germany,DEU,2005,528.48
Germany,DEU,2010,487.73
Germany,DEU,2015,477.63
Germany,DEU,2019,462.53
Italy,ITA,1990,640.72
Italy,ITA,1995,584.09
Italy,ITA,2000,524.97
Italy,ITA,2005,468.55
Italy,ITA,2010,425.97
Italy,ITA,2015,401.03
Italy,ITA,2019,386.81
United States,USA,1990,668.88
United States,USA,1995,654.86
United States,USA,2000,618.62
United States,USA,2005,581.88
United States,USA,2010,531.79
United States,USA,2015,526.01
United States,USA,2019,528.24
