Entity,Code,Year,ag_land_index,labor_index
Algeria,DZA,1961,51.511,147.377
Algeria,DZA,1970,50.2797,124.7281
Algeria,DZA,1980,54.5161,113.8184
Algeria,DZA,1990,61.2913,116.0514
Algeria,DZA,2000,70.4306,127.296
Algeria,DZA,2010,90.1727,108.164
Algeria,DZA,2019,100.4592,98.3667
Libya,LBY,1961,59.154,149.0602
Libya,LBY,1970,68.3067,129.6424
Libya,LBY,1980,77.0177,133.6402
Libya,LBY,1990,105.7547,81.0979
Libya,LBY,2000,111.3334,98.868
Libya,LBY,2010,100.689,103.8191
Libya,LBY,2019,100.0,94.3798
Luxembourg,LUX,2000,97.8333,179.7556
Luxembourg,LUX,2010,98.8155,94.1344
Luxembourg,LUX,2019,98.9466,75.0713
Yugoslavia,OWID_YGS,1961,150.2932,408.4738
Yugoslavia,OWID_YGS,1970,147.2126,346.5133
Yugoslavia,OWID_YGS,1980,142.0037,283.2521
Yugoslavia,OWID_YGS,1990,139.7346,206.8982
Yugoslavia,OWID_YGS,2000,116.2052,157.8055
Yugoslavia,OWID_YGS,2010,104.1152,117.3296
Yugoslavia,OWID_YGS,2019,99.479,91.4842
