Entity,Code,Year,"Current number of cases of alzheimer's disease and other dementias per 100,000 people, in both sexes aged age-standardized"
Comoros,COM,1990,565.85767
Comoros,COM,1995,559.48285
Comoros,COM,2000,559.4271
Comoros,COM,2005,558.71356
Comoros,COM,2010,564.00165
Comoros,COM,2015,567.2513
Comoros,COM,2019,572.0812
Democratic Republic of Congo,COD,1990,656.7819
Democratic Republic of Congo,COD,1995,657.57806
Democratic Republic of Congo,COD,2000,667.5134
Democratic Republic of Congo,COD,2005,673.10596
Democratic Republic of Congo,COD,2010,681.935
Democratic Republic of Congo,COD,2015,684.8064
Democratic Republic of Congo,COD,2019,693.7193
Middle East & North Africa (WB),,1990,743.1492
Middle East & North Africa (WB),,1995,735.3103
Middle East & North Africa (WB),,2000,742.805
Middle East & North Africa (WB),,2005,742.4283
Middle East & North Africa (WB),,2010,746.8477
Middle East & North Africa (WB),,2015,753.99274
Middle East & North Africa (WB),,2019,761.6033
OECD Countries,,1990,697.8457
OECD Countries,,1995,679.84735
OECD Countries,,2000,694.5448
OECD Countries,,2005,699.55084
OECD Countries,,2010,700.9645
OECD Countries,,2015,710.54926
OECD Countries,,2019,715.01355
