Entity,Code,Year,"Current number of cases of alzheimer's disease and other dementias per 100,000 people, in both sexes aged age-standardized"
Algeria,DZA,1990,766.3508
Algeria,DZA,1995,764.58014
Algeria,DZA,2000,764.4123
Algeria,DZA,2005,763.7452
Algeria,DZA,2010,764.5068
Algeria,DZA,2015,770.6495
Algeria,DZA,2019,777.4768
Armenia,ARM,1990,697.4483
Armenia,ARM,1995,699.51556
Armenia,ARM,2000,705.8889
Armenia,ARM,2005,711.1629
Armenia,ARM,2010,720.21924
Armenia,ARM,2015,731.41925
Armenia,ARM,2019,736.33417
Mexico,MEX,1990,527.7304
Mexico,MEX,1995,495.88885
Mexico,MEX,2000,498.44052
Mexico,MEX,2005,499.19138
Mexico,MEX,2010,502.6996
Mexico,MEX,2015,504.2078
Mexico,MEX,2019,512.0113
North America (WB),,1990,795.5638
North America (WB),,1995,744.36694
North America (WB),,2000,777.07446
North America (WB),,2005,778.60394
North America (WB),,2010,777.8756
North America (WB),,2015,774.6525
North America (WB),,2019,773.5356
