Entity,Code,Year,Animal Products | 00002941 || Food available for consumption | 0674pc || grams of protein per day per capita,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,13.972748,,1360677453.0,
Angola,AGO,2020,12.004645,6032.275,33428490.0,
Argentina,ARG,2020,68.49207,19685.217,45036032.0,
Asia,,2020,29.528982,,4663086623.0,
Belarus,BLR,2020,60.92099,19225.574,9633745.0,
Bhutan,BTN,2020,31.423265,10547.052,772512.0,
Bolivia,BOL,2020,33.876312,7679.933,11936169.0,
Brazil,BRA,2020,55.603397,14021.958,213196304.0,
Burkina Faso,BFA,2020,18.249275,2093.7336,21522632.0,
Burundi,BDI,2020,2.6953228,711.3553,12220229.0,
Central African Republic,CAF,2020,18.241497,847.765,5343024.0,
Chad,TCD,2020,27.108818,1489.1868,16644707.0,
Democratic Republic of Congo,COD,2020,3.1637197,1044.0712,92853168.0,
Dominican Republic,DOM,2020,32.475677,16768.426,10999668.0,
Eswatini,SWZ,2020,17.559677,8290.409,1180663.0,
Europe,,2020,61.368683,,747462669.0,
France,FRA,2020,76.73276,42233.14,64480052.0,
High-income countries,,2020,64.34265,47614.09,1218093003.0,
Hong Kong,HKG,2020,107.82283,55888.688,7500955.0,
Iceland,ISL,2020,96.21635,52174.574,366682.0,
India,IND,2020,15.347798,6114.0317,1396387072.0,
Indonesia,IDN,2020,26.853527,11515.74,271857984.0,
Iraq,IRQ,2020,8.430955,8919.798,42556988.0,
Japan,JPN,2020,50.552307,39935.465,125244760.0,
Kenya,KEN,2020,13.4982195,4498.383,51985780.0,
Kiribati,KIR,2020,36.541557,1944.8469,126473.0,
Kyrgyzstan,KGZ,2020,36.86109,4726.197,6424880.0,
Lithuania,LTU,2020,81.03349,37166.41,2820269.0,
Low-income countries,,2020,10.370609,1970.1681,680258922.0,
Lower-middle-income countries,,2020,19.75968,6930.9463,3369707355.0,
Malawi,MWI,2020,12.7058735,1489.6014,19377058.0,
Malta,MLT,2020,55.260612,40740.97,515364.0,
Mongolia,MNG,2020,77.56028,11666.779,3294340.0,
Mozambique,MOZ,2020,7.4082975,1232.9856,31178242.0,
Myanmar,MMR,2020,46.248615,4947.0938,53423200.0,
Netherlands,NLD,2020,69.67143,54275.004,17434562.0,
Nigeria,NGA,2020,6.7978525,4865.087,208327408.0,
North America,,2020,60.87486,,594263186.0,
Oceania,,2020,59.251892,,43933757.0,
Pakistan,PAK,2020,30.120348,5004.352,227196736.0,
Philippines,PHL,2020,26.166784,7773.2603,112190984.0,
Poland,POL,2020,62.8243,32546.826,38428368.0,
Qatar,QAT,2020,49.91027,89019.07,2760390.0,
Romania,ROU,2020,52.818935,29062.473,19442040.0,
Russia,RUS,2020,56.99385,26583.797,145617328.0,
Rwanda,RWA,2020,7.0247035,2067.6416,13146367.0,
Saudi Arabia,SAU,2020,36.257694,42891.688,35997108.0,
Serbia,SRB,2020,52.331528,18265.967,7358010.0,
South America,,2020,49.332405,,431530105.0,
Spain,ESP,2020,70.057434,35967.89,47363808.0,
Sudan,SDN,2020,19.220844,3874.8003,44440484.0,
Tajikistan,TJK,2020,28.66329,3651.9421,9543211.0,
Turkey,TUR,2020,40.307323,28473.205,84135432.0,
Ukraine,UKR,2020,42.389507,12407.79,43909664.0,
United Kingdom,GBR,2020,59.44375,41984.105,67059472.0,
United States,USA,2020,75.089485,60167.855,335942016.0,
Upper-middle-income countries,,2020,43.288277,17017.123,2541463877.0,
Uzbekistan,UZB,2020,46.99931,7344.22,33526662.0,
Vanuatu,VUT,2020,23.935114,2836.8135,311694.0,
Vietnam,VNM,2020,36.982117,10450.622,96648680.0,
World,OWID_WRL,2020,33.355595,16175.776,7840952832.0,
Zimbabwe,ZWE,2020,23.380909,1990.3195,15669663.0,
