Entity,Code,Year,Yearly burned area across other land categories,Yearly burned area across croplands,Yearly burned area across forests,Yearly burned area across savannas,Yearly burned area across shrublands and grasslands
Aland Islands,ALA,2002,0.0,0.0,0.0,0.0,0.0
Aland Islands,ALA,2005,0.0,0.0,0.0,0.0,0.0
Aland Islands,ALA,2010,0.0,0.0,0.0,0.0,0.0
Aland Islands,ALA,2015,0.0,0.0,0.0,0.0,0.0
Aland Islands,ALA,2020,0.0,0.0,0.0,0.0,0.0
Aland Islands,ALA,2022,0.0,0.0,0.0,0.0,0.0
Albania,ALB,2002,0.0,0.0,0.0,0.0,0.0
Albania,ALB,2005,0.0,3541.869,0.0,107.328995,5216.207
Albania,ALB,2010,0.0,4829.82,0.0,558.112,4357.5723
Albania,ALB,2015,0.0,0.0,64.397995,2017.791,2103.655
Albania,ALB,2020,472.249,171.727,64.398,1867.531,3456.004
Albania,ALB,2022,0.0,858.634,1137.6909,1717.27,3026.689
Benin,BEN,2002,1137.6909,968454.06,20843.355,909444.4,954758.9
Benin,BEN,2005,2532.975,1154176.8,43275.188,1149926.5,1208378.1
Benin,BEN,2010,429.318,715199.75,1524.0781,274226.44,796705.7
Benin,BEN,2015,708.373,595141.1,2490.041,290175.6,709683.0
Benin,BEN,2020,1931.928,454926.12,9316.1875,227130.33,746282.4
Benin,BEN,2022,686.907,448293.16,4443.434,89405.336,697812.4
Nauru,NRU,2002,0.0,0.0,0.0,0.0,0.0
Nauru,NRU,2005,0.0,0.0,0.0,0.0,0.0
Nauru,NRU,2010,0.0,0.0,0.0,0.0,0.0
Nauru,NRU,2015,0.0,0.0,0.0,0.0,0.0
Nauru,NRU,2020,0.0,0.0,0.0,0.0,0.0
Nauru,NRU,2022,0.0,0.0,0.0,0.0,0.0
Serbia,SRB,2002,0.0,15498.359,450.78302,1137.6909,1459.678
Serbia,SRB,2005,21.466,11741.83,42.932,107.329,214.65901
Serbia,SRB,2010,85.864,11119.32,107.329,300.522,686.90796
Serbia,SRB,2015,0.0,5023.0127,85.863,257.59,622.51
Serbia,SRB,2020,0.0,12815.121,321.988,279.05603,386.38602
Serbia,SRB,2022,21.466,8414.62,794.237,880.101,1695.8049
Taiwan,TWN,2002,0.0,0.0,21.466,0.0,0.0
Taiwan,TWN,2005,128.795,1094.7589,0.0,236.125,21.466
Taiwan,TWN,2010,0.0,21.466,21.466,214.658,85.863
Taiwan,TWN,2015,0.0,236.125,64.398,21.466,0.0
Taiwan,TWN,2020,42.932,0.0,0.0,0.0,0.0
Taiwan,TWN,2022,0.0,0.0,0.0,0.0,0.0
