Entity,Code,Year,Annual CO₂ emissions from flaring
Australia,AUS,1750,0.0
Australia,AUS,1800,0.0
Australia,AUS,1850,0.0
Australia,AUS,1900,0.0
Australia,AUS,1950,0.0
Australia,AUS,2000,7952858.0
Australia,AUS,2022,13280175.0
Canada,CAN,1800,0.0
Canada,CAN,1850,0.0
Canada,CAN,1900,0.0
Canada,CAN,1950,0.0
Canada,CAN,2000,16248497.0
Canada,CAN,2022,17163512.0
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,0.0
European Union (27),,1950,0.0
European Union (27),,2000,20743478.0
European Union (27),,2022,17741440.0
Indonesia,IDN,1900,0.0
Indonesia,IDN,1950,0.0
Indonesia,IDN,2000,8570471.0
Indonesia,IDN,2022,3162903.0
Mexico,MEX,1900,0.0
Mexico,MEX,1950,2678384.0
Mexico,MEX,2000,5382886.0
Mexico,MEX,2022,10655503.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,0.0
South Africa,ZAF,2000,251465.0
South Africa,ZAF,2022,37764.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,0.0
United States,USA,1950,43121616.0
United States,USA,2000,38914656.0
United States,USA,2022,63293600.0
