Entity,Code,Year,Annual CO₂ emissions from gas
Asia,,1830,0.0
Asia,,1850,0.0
Asia,,1900,0.0
Asia,,1950,5570711.0
Asia,,2000,1076719400.0
Asia,,2022,3136482000.0
Bolivia,BOL,1950,0.0
Bolivia,BOL,2000,2414576.0
Bolivia,BOL,2022,7160677.0
Czechia,CZE,1900,0.0
Czechia,CZE,1950,33312.0
Czechia,CZE,2000,18134412.0
Czechia,CZE,2022,15582173.0
Hungary,HUN,1830,0.0
Hungary,HUN,1900,0.0
Hungary,HUN,1950,703488.0
Hungary,HUN,2000,22276600.0
Hungary,HUN,2022,18962620.0
Kiribati,KIR,2000,0.0
Kiribati,KIR,2022,0.0
Nicaragua,NIC,1950,0.0
Nicaragua,NIC,2000,0.0
Nicaragua,NIC,2022,0.0
Palau,PLW,2000,0.0
Palau,PLW,2022,0.0
Tanzania,TZA,1950,0.0
Tanzania,TZA,2000,0.0
Tanzania,TZA,2022,2079320.0
Tonga,TON,1950,0.0
Tonga,TON,2000,0.0
Tonga,TON,2022,0.0
