Entity,Code,Year,Annual CO₂ emissions from other industry
Brazil,BRA,2000,5008000.0
Brazil,BRA,2022,6392000.0
China,CHN,1960,18925240.0
China,CHN,1980,35586176.0
China,CHN,2000,89857180.0
China,CHN,2022,171538880.0
France,FRA,2000,4815014.0
France,FRA,2022,4094335.0
Japan,JPN,2000,9390350.0
Japan,JPN,2022,7645702.0
United Kingdom,GBR,2000,3443769.0
United Kingdom,GBR,2022,2548418.0
United States,USA,1904,1833750.0
United States,USA,1920,2347200.0
United States,USA,1940,3227400.0
United States,USA,1960,8581950.0
United States,USA,1980,12616200.0
United States,USA,2000,26957212.0
United States,USA,2022,24836760.0
