Entity,Code,Year,Gas (% growth)
Brazil,BRA,1966,16.941404
Brazil,BRA,1970,7.2817564
Brazil,BRA,1980,16.899765
Brazil,BRA,1990,-8.955347
Brazil,BRA,2000,24.607706
Brazil,BRA,2010,33.42346
Brazil,BRA,2022,-20.941914
Colombia,COL,1966,4.301083
Colombia,COL,1970,-2.807933
Colombia,COL,1980,10.302663
Colombia,COL,1990,3.772974
Colombia,COL,2000,0.7891059
Colombia,COL,2010,4.3657303
Colombia,COL,2022,-0.329417
Philippines,PHL,2000,48.616505
Philippines,PHL,2010,-5.8117924
Philippines,PHL,2022,-3.9833128
