Entity,Code,Year,Nuclear (% growth)
Bulgaria,BGR,1980,-0.24271607
Bulgaria,BGR,1990,0.67965984
Bulgaria,BGR,2000,14.948773
Bulgaria,BGR,2010,-0.045883656
Bulgaria,BGR,2022,-0.2289474
Europe,,1966,29.331493
Europe,,1970,9.42359
Europe,,1980,18.464994
Europe,,1990,-1.0059297
Europe,,2000,1.4821649
Europe,,2010,2.928996
Europe,,2022,-12.66461
Europe (EI),,1966,31.071806
Europe (EI),,1970,8.417881
Europe (EI),,1980,16.836107
Europe (EI),,1990,0.87065697
Europe (EI),,2000,0.80589056
Europe (EI),,2010,2.725792
Europe (EI),,2022,-15.9642935
Lithuania,LTU,1990,2.286172
Lithuania,LTU,2000,-14.6319275
Lithuania,LTU,2010,-100.0
Spain,ESP,1970,11.338961
Spain,ESP,1980,-22.597015
Spain,ESP,1990,-3.3104062
Spain,ESP,2000,5.6990385
Spain,ESP,2010,16.777634
Spain,ESP,2022,3.5947442
