Entity,Code,Year,"N06A-Antidepressants (Consumption: DDD per 1,000 inhabitants per day)","GDP per capita, PPP (constant 2017 international $)",Continent
Australia,AUS,2010,80.4,44965.395,
Australia,AUS,2021,,49774.34,
Austria,AUT,2010,54.2,51843.43,
Austria,AUT,2021,,54121.145,
Belgium,BEL,2010,68.7,47972.56,
Belgium,BEL,2021,,51739.54,
Canada,CAN,2010,78.8,44861.523,
Canada,CAN,2021,130.4,47892.945,
Chile,CHL,2021,90.7,25449.13,
Chile,CHL,2010,,21225.104,
Costa Rica,CRI,2010,21.9,16667.016,
Costa Rica,CRI,2021,,21199.281,
Czechia,CZE,2010,41.6,33483.137,
Czechia,CZE,2021,,40740.992,
Denmark,DNK,2010,84.0,50825.414,
Denmark,DNK,2021,84.6,57962.652,
Estonia,EST,2010,15.9,26015.746,
Estonia,EST,2021,40.7,38717.695,
France,FRA,2010,53.4,42145.684,
France,FRA,2021,,44993.125,
Greece,GRC,2021,70.6,29548.04,
Greece,GRC,2010,,33693.21,
Hungary,HUN,2010,26.4,24477.576,
Hungary,HUN,2021,29.8,33593.152,
Iceland,ISL,2010,101.3,47457.62,
Iceland,ISL,2021,161.1,53586.156,
Luxembourg,LUX,2010,50.1,114343.984,
Luxembourg,LUX,2021,57.3,115683.49,
Netherlands,NLD,2010,40.4,52032.99,
Netherlands,NLD,2021,,56617.35,
New Zealand,NZL,2010,,37583.113,
New Zealand,NZL,2021,,42915.453,
Norway,NOR,2010,56.5,61353.477,
Norway,NOR,2021,61.1,65662.17,
Portugal,PRT,2010,78.7,31798.154,
Portugal,PRT,2021,139.6,33674.527,
Slovakia,SVK,2010,29.0,25561.707,
Slovakia,SVK,2021,,31866.025,
South Korea,KOR,2010,11.3,34394.492,
South Korea,KOR,2021,,44232.207,
Spain,ESP,2010,61.2,37298.47,
Spain,ESP,2021,92.0,37913.074,
Sweden,SWE,2010,75.8,47791.37,
Sweden,SWE,2021,108.9,53613.42,
