Entity,Code,Year,Arable land (hectares per person)
East Asia and Pacific (WB),,1961,0.17735103
East Asia and Pacific (WB),,1970,0.14576249
East Asia and Pacific (WB),,1980,0.12085957
East Asia and Pacific (WB),,1990,0.12061954
East Asia and Pacific (WB),,2000,0.106580645
East Asia and Pacific (WB),,2010,0.10228976
East Asia and Pacific (WB),,2020,0.09873174
Europe and Central Asia (WB),,2000,0.40972432
Europe and Central Asia (WB),,2010,0.37837693
Europe and Central Asia (WB),,2020,0.36114347
Latin America and Caribbean (WB),,1961,0.3925553
Latin America and Caribbean (WB),,1970,0.3444417
Latin America and Caribbean (WB),,1980,0.3376263
Latin America and Caribbean (WB),,1990,0.28778726
Latin America and Caribbean (WB),,2000,0.24764383
Latin America and Caribbean (WB),,2010,0.24733643
Latin America and Caribbean (WB),,2020,0.22087999
Middle East and North Africa (WB),,1961,0.4578308
Middle East and North Africa (WB),,1970,0.36425197
Middle East and North Africa (WB),,1980,0.2647272
Middle East and North Africa (WB),,1990,0.20954864
Middle East and North Africa (WB),,2000,0.16663477
Middle East and North Africa (WB),,2010,0.13051012
Middle East and North Africa (WB),,2020,0.111853324
North America (WB),,1961,1.0754076
North America (WB),,1970,1.0035609
North America (WB),,1980,0.9096725
North America (WB),,1990,0.8185473
North America (WB),,2000,0.6913791
North America (WB),,2010,0.5690315
North America (WB),,2020,0.53022444
South Asia (WB),,1961,0.35074335
South Asia (WB),,1970,0.29263446
South Asia (WB),,1980,0.23787594
South Asia (WB),,1990,0.18742505
South Asia (WB),,2000,0.15027505
South Asia (WB),,2010,0.123765215
South Asia (WB),,2020,0.109273955
Sub-Saharan Africa (WB),,1961,0.5533852
Sub-Saharan Africa (WB),,1970,0.49656147
Sub-Saharan Africa (WB),,1980,0.3490597
Sub-Saharan Africa (WB),,1990,0.3027748
Sub-Saharan Africa (WB),,2000,0.25378364
Sub-Saharan Africa (WB),,2010,0.21999268
Sub-Saharan Africa (WB),,2020,0.19342798
World,OWID_WRL,1961,0.3601894
World,OWID_WRL,1970,0.3095511
World,OWID_WRL,1980,0.25960183
World,OWID_WRL,1990,0.22748536
World,OWID_WRL,2000,0.21963672
World,OWID_WRL,2010,0.19414157
World,OWID_WRL,2020,0.17749491
