Entity,Code,Year,Armed forces personnel (% of total labor force)
China,CHN,1990,0.54761606
China,CHN,1995,0.6063409
China,CHN,2000,0.53415745
China,CHN,2005,0.4880605
China,CHN,2010,0.38046238
China,CHN,2015,0.35882273
China,CHN,2019,0.31863832
France,FRA,1990,2.1222696
France,FRA,1995,1.8876964
France,FRA,2000,1.4117638
France,FRA,2005,1.2372111
France,FRA,2010,1.1390302
France,FRA,2015,1.0045993
France,FRA,2019,0.9917692
Germany,DEU,1990,1.4097072
Germany,DEU,1995,0.9241532
Germany,DEU,2000,0.5546107
Germany,DEU,2005,0.69107664
Germany,DEU,2010,0.59944934
Germany,DEU,2015,0.4156057
Germany,DEU,2019,0.41409972
India,IND,1990,0.40050495
India,IND,1995,0.608457
India,IND,2000,0.60253525
India,IND,2005,0.68262863
India,IND,2010,0.57280827
India,IND,2015,0.59536105
India,IND,2019,0.62300634
Japan,JPN,1990,0.3894622
Japan,JPN,1995,0.3745522
Japan,JPN,2000,0.36671868
Japan,JPN,2005,0.40800062
Japan,JPN,2010,0.39313823
Japan,JPN,2015,0.3926098
Japan,JPN,2019,0.3774636
Russia,RUS,1995,2.5160522
Russia,RUS,2000,1.9483986
Russia,RUS,2005,1.9592444
Russia,RUS,2010,1.8897175
Russia,RUS,2015,1.985603
Russia,RUS,2019,1.9656751
United Kingdom,GBR,1990,1.0541836
United Kingdom,GBR,1995,0.8096148
United Kingdom,GBR,2000,0.7200508
United Kingdom,GBR,2005,0.7042435
United Kingdom,GBR,2010,0.5398281
United Kingdom,GBR,2015,0.45316017
United Kingdom,GBR,2019,0.4293772
United States,USA,1990,1.700877
United States,USA,1995,1.1949934
United States,USA,2000,0.9928258
United States,USA,2005,1.0138028
United States,USA,2010,0.99470943
United States,USA,2015,0.8432895
United States,USA,2019,0.8362728
