Entity,Code,Year,armed_forces_share_population
China,CHN,1985,0.3625919085999737
China,CHN,1990,0.2973955758334625
China,CHN,1995,0.3328174423906445
China,CHN,2000,0.3029714211932277
China,CHN,2005,0.2821661141896732
China,CHN,2010,0.2151502911647519
China,CHN,2015,0.2020829731960755
China,CHN,2018,0.1887720501348389
France,FRA,1985,0.8402884105822553
France,FRA,1990,0.9705849067588198
France,FRA,1995,0.8691757762164407
France,FRA,2000,0.6598312174113022
France,FRA,2005,0.5873678798578432
France,FRA,2010,0.5438446706070584
France,FRA,2015,0.4753061578298199
France,FRA,2018,0.4689915352567156
Germany,DEU,1985,0.6152532003109578
Germany,DEU,1990,0.6894023203182271
Germany,DEU,1995,0.4498472509766708
Germany,DEU,2000,0.2716186751929951
Germany,DEU,2005,0.3492529827950996
Germany,DEU,2010,0.3111150938286081
Germany,DEU,2015,0.216781528883461
Germany,DEU,2018,0.2182271049541126
India,IND,1985,0.1606405197515347
India,IND,1990,0.1442839840246528
India,IND,1995,0.2229950860389944
India,IND,2000,0.2244988542930013
India,IND,2005,0.2655083348686692
India,IND,2010,0.2127218723502467
India,IND,2015,0.2136240041303531
India,IND,2018,0.2237472566130035
Japan,JPN,1985,0.199370738363294
Japan,JPN,1990,0.200794756892286
Japan,JPN,1995,0.1990258637552345
Japan,JPN,2000,0.1950218565629065
Japan,JPN,2005,0.2119599740084082
Japan,JPN,2010,0.2025651483932349
Japan,JPN,2015,0.2029923177252633
Japan,JPN,2018,0.2053030690745182
Russia,RUS,1995,1.2143498015964935
Russia,RUS,2000,0.9747625233009636
Russia,RUS,2005,1.010634456753528
Russia,RUS,2010,0.99665963598798
Russia,RUS,2015,1.027692101708218
Russia,RUS,2018,0.9977079204436212
United Kingdom,GBR,1985,0.5920562885994333
United Kingdom,GBR,1990,0.5390800008198217
United Kingdom,GBR,1995,0.4021925535688547
United Kingdom,GBR,2000,0.3606382907408197
United Kingdom,GBR,2005,0.3599392402657957
United Kingdom,GBR,2010,0.2742208410013766
United Kingdom,GBR,2015,0.2313234973094275
United Kingdom,GBR,2018,0.2210996275666509
United States,USA,1985,0.894636836779031
United States,USA,1990,0.8646665588530593
United States,USA,1995,0.6168264182727247
United States,USA,2000,0.516415917063121
United States,USA,2005,0.5240793281319285
United States,USA,2010,0.5078830909023638
United States,USA,2015,0.4198787981657046
United States,USA,2018,0.4218330063893148
