Entity,Code,Year,"Armed forces personnel, total"
China,CHN,1985,3900000
China,CHN,1990,3500000
China,CHN,1995,4130000
China,CHN,2000,3910000
China,CHN,2005,3755000
China,CHN,2010,2945000
China,CHN,2015,2843000
China,CHN,2019,2535000
France,FRA,1985,464300
France,FRA,1990,550000
France,FRA,1995,502400
France,FRA,2000,389400
France,FRA,2005,359000
France,FRA,2010,341967
France,FRA,2015,306350
France,FRA,2019,304000
Germany,DEU,1985,478000
Germany,DEU,1990,545000
Germany,DEU,1995,365000
Germany,DEU,2000,221100
Germany,DEU,2005,285000
Germany,DEU,2010,251465
Germany,DEU,2015,177300
Germany,DEU,2019,184000
India,IND,1985,1260000
India,IND,1990,1260000
India,IND,1995,2149500
India,IND,2000,2372000
India,IND,2005,3047000
India,IND,2010,2625586
India,IND,2015,2798800
India,IND,2019,3045000
Japan,JPN,1985,243000
Japan,JPN,1990,250000
Japan,JPN,1995,251500
Japan,JPN,2000,248700
Japan,JPN,2005,272000
Japan,JPN,2010,260382
Japan,JPN,2015,259800
Japan,JPN,2019,261000
Russia,RUS,1995,1800000
Russia,RUS,2000,1427100
Russia,RUS,2005,1452000
Russia,RUS,2010,1430000
Russia,RUS,2015,1490000
Russia,RUS,2019,1454000
United Kingdom,GBR,1985,334000
United Kingdom,GBR,1990,308000
United Kingdom,GBR,1995,233000
United Kingdom,GBR,2000,212500
United Kingdom,GBR,2005,217000
United Kingdom,GBR,2010,174020
United Kingdom,GBR,2015,152350
United Kingdom,GBR,2019,149000
United States,USA,1985,2151600
United States,USA,1990,2180000
United States,USA,1995,1635600
United States,USA,2000,1454800
United States,USA,2005,1546000
United States,USA,2010,1569417
United States,USA,2015,1347300
United States,USA,2019,1388000
