Entity,Code,Year,Patent applications per 1 million people - Field: All
Greece,GRC,2018,0.7523552
Greece,GRC,2020,0.28538182
Greece,GRC,2016,0.18605098
Greece,GRC,2014,0.09205584
Lithuania,LTU,2020,1.4183044
Lithuania,LTU,2018,1.3907586
Lithuania,LTU,2016,1.3634771
Lithuania,LTU,2014,0.66779566
Serbia,SRB,2018,0.13452025
Serbia,SRB,2020,0.13590631
Serbia,SRB,2016,0.13345276
Serbia,SRB,2012,0.13172875
Switzerland,CHE,2018,0.46979064
Switzerland,CHE,2016,0.47773162
Switzerland,CHE,2014,0.4885322
Switzerland,CHE,2020,0.69455624
Switzerland,CHE,2012,0.37519988
Switzerland,CHE,2010,0.25567457
World,OWID_WRL,2020,11.966403
World,OWID_WRL,2018,6.937072
World,OWID_WRL,2016,2.487531
World,OWID_WRL,2014,0.95503294
World,OWID_WRL,2012,0.60195225
World,OWID_WRL,2010,0.42057928
