Entity,Code,Year,Augmented Human Development Index (AHDI),814486-annotations,GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2020,,,,,1360677453.0,
Angola,AGO,2020,0.24331707,,,,33428490.0,
Argentina,ARG,2020,0.5808542,,,,45036032.0,
Asia,,2020,,,,,4663086623.0,
Bulgaria,BGR,2020,0.54091567,,,,6979181.0,
Burundi,BDI,2020,0.1257193,,,,12220229.0,
Cameroon,CMR,2020,0.22072946,,,,26491090.0,
Central African Republic,CAF,2020,0.18321593,,,,5343024.0,
Chile,CHL,2020,0.647991,,,,19300318.0,
China,CHN,2020,0.2572684,,,,1424929792.0,
Egypt,EGY,2020,0.3205337,,,,107465128.0,
El Salvador,SLV,2020,0.37150574,,,,6292734.0,
Equatorial Guinea,GNQ,2020,0.20572552,,,,1596057.0,
Ethiopia,ETH,2020,0.20608407,,,,117190920.0,
Europe,,2020,,,,,747462669.0,
France,FRA,2020,0.73278296,,,,64480052.0,
Georgia,GEO,2020,0.5664046,,,,3765912.0,
Ghana,GHA,2020,0.40519884,,,,32180402.0,
Guinea,GIN,2020,0.15343444,,,,13205157.0,
Hong Kong,HKG,2020,0.6183592,,,,7500955.0,
Hungary,HUN,2020,0.5321418,,,,9750571.0,
India,IND,2020,0.35353443,,,,1396387072.0,
Indonesia,IDN,2020,0.42196304,,,,271857984.0,
Iran,IRN,2020,0.37193736,,,,87290192.0,
Israel,ISR,2020,0.7732169,,,,8757487.0,
Italy,ITA,2020,0.6947239,,,,59500576.0,
Japan,JPN,2020,0.85673577,,,,125244760.0,
Latvia,LVA,2020,0.6903951,,,,1897057.0,
Liberia,LBR,2020,0.29302675,,,,5087591.0,
Malawi,MWI,2020,0.27261257,,,,19377058.0,
Malaysia,MYS,2020,0.47657886,,,,33199988.0,
Moldova,MDA,2020,0.50474745,,,,3084848.0,
Mozambique,MOZ,2020,0.23250847,,,,31178242.0,
Nicaragua,NIC,2020,0.22726451,,,,6755900.0,
North America,,2020,,,,,594263186.0,
Oceania,,2020,,,,,43933757.0,
Oman,OMN,2020,0.38920376,,,,4543406.0,
Pakistan,PAK,2020,0.2638195,,,,227196736.0,
Peru,PER,2020,0.52734023,,,,33304768.0,
Poland,POL,2020,0.61903965,,,,38428368.0,
Qatar,QAT,2020,0.36152875,,,,2760390.0,
Russia,RUS,2020,0.3766185,,,,145617328.0,
Saudi Arabia,SAU,2020,0.30703938,,,,35997108.0,
South Africa,ZAF,2020,0.48208484,,,,58801928.0,
South America,,2020,,,,,431530105.0,
South Korea,KOR,2020,0.8157913,,,,51844688.0,
Switzerland,CHE,2020,0.88554484,,,,8638609.0,
Tanzania,TZA,2020,0.29078418,,,,61704520.0,
Turkey,TUR,2020,0.33346605,,,,84135432.0,
Uganda,UGA,2020,0.25961944,,,,44404608.0,
United Arab Emirates,ARE,2020,0.3973578,,,,9287286.0,
United States,USA,2020,0.74961233,,,,335942016.0,
Vietnam,VNM,2020,0.31491375,,,,96648680.0,
Yemen,YEM,2020,0.14160517,,,,32284044.0,
