Entity,Code,Year,"Average daily minutes of work in winter, weighted by employees (Atack and Bateman (1992))"
Agricultural Services,,1880,9.5166666857
All Industries,,1880,9.8166666863
Chemicals,,1880,10.0666666868
Clothing,,1880,9.9666666866
Coke/Gas/Oil,,1880,10.1500000203
Construction,,1880,9.3666666854
Fabricated Metals,,1880,9.7833333529
Food,,1880,9.9666666866
Furniture,,1880,9.5833333525
Glass/Brick,,1880,9.4166666855
Lumber,,1880,9.7166666861
Machinery,,1880,9.4833333523
Miscellaneous Metals,,1880,9.9666666866
Paper,,1880,10.666666688
Primary Metals,,1880,9.6833333527
Printing,,1880,9.8666666864
Tobacco,,1880,9.7666666862
