Entity,Code,Year,Average weekly hours devoted to school (Ramey and Francis (2009))
Ages 14+ (total),,1900,0.80000001
Ages 14+ (total),,1920,1.3
Ages 14+ (total),,1940,1.9
Ages 14+ (total),,1960,2.5
Ages 14+ (total),,1980,3.0999999
Ages 14+ (total),,2005,2.7
Ages 14-17 (total),,1900,6.3000002
Ages 14-17 (total),,1920,10.5
Ages 14-17 (total),,1940,16.299999
Ages 14-17 (total),,1960,20.9
Ages 14-17 (total),,1980,22.5
Ages 14-17 (total),,2005,24.0
Ages 18-24 (female),,1900,0.80000001
Ages 18-24 (female),,1920,1.4
Ages 18-24 (female),,1940,2.3
Ages 18-24 (female),,1960,3.5999999
Ages 18-24 (female),,1980,6.5
Ages 18-24 (female),,2005,9.3000002
Ages 18-24 (male),,1900,1.0
Ages 18-24 (male),,1920,1.6
Ages 18-24 (male),,1940,3.0
Ages 18-24 (male),,1960,6.5999999
Ages 18-24 (male),,1980,6.1999998
Ages 18-24 (male),,2005,6.8000002
Ages 18-24 (total),,1900,0.89999998
Ages 18-24 (total),,1920,1.5
Ages 18-24 (total),,1940,2.5999999
Ages 18-24 (total),,1960,5.0999999
Ages 18-24 (total),,1980,6.3000002
Ages 18-24 (total),,2005,8.1000004
