Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,5.69,1968.341,38972236.0,
Africa,,2020,6.6818657,,1360677453.0,
Asia,,2020,8.571011,,4663086623.0,
Bahrain,BHR,2020,8.21,47847.84,1477478.0,
Bangladesh,BGD,2020,7.23,5591.374,167420944.0,
Brazil,BRA,2020,8.0,14021.958,213196304.0,
Brunei,BRN,2020,9.28,61603.55,441736.0,
Burundi,BDI,2020,5.05,711.3553,12220229.0,
Cameroon,CMR,2020,7.37,3665.5105,26491090.0,
China,CHN,2020,8.99,16296.779,1424929792.0,
Democratic Republic of Congo,COD,2020,4.85,1044.0712,92853168.0,
Europe,,2020,11.9022875,,747462669.0,
Fiji,FJI,2020,11.52,10966.925,920430.0,
Finland,FIN,2020,11.05,47443.902,5529468.0,
France,FRA,2020,11.89,42233.14,64480052.0,
Guatemala,GTM,2020,6.26,8390.223,17362716.0,
Guyana,GUY,2020,8.52,18430.57,797207.0,
Haiti,HTI,2020,5.95,2959.0894,11306804.0,
India,IND,2020,7.8,6114.0317,1396387072.0,
Iraq,IRQ,2020,8.27,8919.798,42556988.0,
Jamaica,JAM,2020,10.1,9198.148,2820438.0,
Japan,JPN,2020,12.83,39935.465,125244760.0,
Jordan,JOR,2020,10.81,9203.376,10928723.0,
Kuwait,KWT,2020,6.62,43922.63,4360451.0,
Kyrgyzstan,KGZ,2020,11.18,4726.197,6424880.0,
Liberia,LBR,2020,5.8,1383.8281,5087591.0,
Mali,MLI,2020,3.55,2123.8281,21224042.0,
Mauritania,MRT,2020,5.55,5314.8496,4498605.0,
Mexico,MEX,2020,10.18,18327.99,125998296.0,
Mozambique,MOZ,2020,4.22,1232.9856,31178242.0,
Namibia,NAM,2020,6.88,9048.184,2489099.0,
Nepal,NPL,2020,6.19,3761.8027,29348626.0,
Netherlands,NLD,2020,11.82,54275.004,17434562.0,
Niger,NER,2020,3.04,1214.5465,24333644.0,
North America,,2020,11.858304,,594263186.0,
Oceania,,2020,10.736105,,43933757.0,
Pakistan,PAK,2020,6.41,5004.352,227196736.0,
Panama,PAN,2020,10.44,25510.273,4294391.0,
Philippines,PHL,2020,9.44,7773.2603,112190984.0,
Portugal,PRT,2020,9.56,32011.324,10298186.0,
Qatar,QAT,2020,8.52,89019.07,2760390.0,
Russia,RUS,2020,11.6,26583.797,145617328.0,
Saudi Arabia,SAU,2020,9.86,42891.688,35997108.0,
Serbia,SRB,2020,11.72,18265.967,7358010.0,
South America,,2020,8.909957,,431530105.0,
Sri Lanka,LKA,2020,10.33,13095.761,21715076.0,
Sudan,SDN,2020,4.38,3874.8003,44440484.0,
Tajikistan,TJK,2020,10.12,3651.9421,9543211.0,
Tanzania,TZA,2020,6.87,2551.2063,61704520.0,
Togo,TGO,2020,7.68,2066.9707,8442583.0,
Turkey,TUR,2020,8.49,28473.205,84135432.0,
Ukraine,UKR,2020,10.82,12407.79,43909664.0,
United States,USA,2020,13.32,60167.855,335942016.0,
Vietnam,VNM,2020,8.35,10450.622,96648680.0,
Zambia,ZMB,2020,8.37,3183.651,18927716.0,
Zimbabwe,ZWE,2020,8.32,1990.3195,15669663.0,
