Entity,Code,Year,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare"
Brazil,BRA,1961,0.676
Brazil,BRA,1970,0.6346
Brazil,BRA,1980,0.42389998
Brazil,BRA,1990,0.47739998
Brazil,BRA,2000,0.7054
Brazil,BRA,2010,0.9227
Brazil,BRA,2021,1.1097
Libya,LBY,1970,1.9343
Libya,LBY,1980,2.0
Libya,LBY,1990,3.0769
Libya,LBY,2000,3.0303
Libya,LBY,2010,3.3441
Libya,LBY,2021,3.2361
United States,USA,1961,1.5412999
United States,USA,1970,1.3841
United States,USA,1980,1.6115999
United States,USA,1990,1.7415999
United States,USA,2000,1.8404
United States,USA,2010,1.9343
United States,USA,2021,1.9059
Yemen,YEM,1990,2.3263
Yemen,YEM,2000,1.5009999
Yemen,YEM,2010,2.5955
Yemen,YEM,2021,2.6346998
