Entity,Code,Year,"Capital Intensity (Bergeaud, Cette, and Lecat (2016))","Labor productivity (Bergeaud, Cette, and Lecat (2016))",Population (historical estimates),Continent
Argentina,ARG,2010,52.0,21.379999,41100124.0,
Argentina,ARG,2015,55.0,21.709999,43257064.0,South America
Argentina,ARG,2016,,20.950001,43668236.0,
Asia,,2010,,,4220041467.0,
Asia,,2015,,,4458250376.0,
Asia,,2016,,,4502955714.0,
Brazil,BRA,2010,29.0,11.9,196353504.0,
Brazil,BRA,2015,33.0,11.93,205188208.0,South America
Brazil,BRA,2016,,11.71,206859584.0,
Canada,CAN,2010,177.0,49.93,33963416.0,
Canada,CAN,2015,194.0,52.57,35732120.0,North America
Canada,CAN,2016,,53.029999,36113532.0,
Europe,,2010,,,737406197.0,
Europe,,2015,,,743294457.0,
Europe,,2016,,,744516175.0,
Finland,FIN,2010,186.0,48.57,5363279.0,
Finland,FIN,2015,200.0,48.91,5479457.0,Europe
Finland,FIN,2016,,49.34,5495217.0,
France,FRA,2010,228.0,58.509998,62444568.0,
France,FRA,2015,243.0,60.490002,63809768.0,Europe
France,FRA,2016,,61.220001,63989320.0,
Germany,DEU,2010,211.0,57.279999,81325088.0,
Germany,DEU,2015,218.0,59.990002,82073232.0,Europe
Germany,DEU,2016,,60.709999,82331432.0,
Italy,ITA,2010,172.0,45.0,59822452.0,
Italy,ITA,2015,182.0,45.48,60232908.0,Europe
Italy,ITA,2016,,45.119999,60118628.0,
Japan,JPN,2010,158.0,39.369999,128105432.0,
Japan,JPN,2015,161.0,41.560001,127250936.0,Asia
Japan,JPN,2016,,41.720001,126993856.0,
Mexico,MEX,2010,46.0,14.7,112532400.0,
Mexico,MEX,2015,51.0,15.64,120149896.0,North America
Mexico,MEX,2016,,15.76,121519224.0,
Netherlands,NLD,2010,229.0,61.73,16617121.0,
Netherlands,NLD,2015,242.0,64.129997,17041110.0,Europe
Netherlands,NLD,2016,,64.260002,17124512.0,
New Zealand,NZL,2010,127.0,37.099998,4346345.0,
New Zealand,NZL,2015,131.0,38.740002,4590591.0,Oceania
New Zealand,NZL,2016,,38.299999,4668088.0,
North America,,2010,,,543052879.0,
North America,,2015,,,570726015.0,
North America,,2016,,,576008328.0,
Norway,NOR,2010,265.0,76.589996,4889747.0,
Norway,NOR,2015,287.0,78.519997,5190357.0,Europe
Norway,NOR,2016,,79.080002,5236591.0,
Oceania,,2010,,,37103109.0,
Oceania,,2015,,,40403644.0,
Oceania,,2016,,,41101240.0,
Portugal,PRT,2010,111.0,27.530001,10588401.0,
Portugal,PRT,2015,119.0,28.299999,10365436.0,Europe
Portugal,PRT,2016,,28.639999,10332751.0,
South America,,2010,,,393078326.0,
South America,,2015,,,413134461.0,
South America,,2016,,,417101806.0,
Sweden,SWE,2010,193.0,53.720001,9381722.0,
Sweden,SWE,2015,200.0,56.450001,9849344.0,Europe
Sweden,SWE,2016,,56.91,9953322.0,
Switzerland,CHE,2010,179.0,51.470001,7822444.0,
Switzerland,CHE,2015,183.0,52.040001,8281735.0,Europe
Switzerland,CHE,2016,,51.860001,8372902.0,
United Kingdom,GBR,2010,155.0,53.669998,62760048.0,
United Kingdom,GBR,2015,153.0,54.5,65224368.0,Europe
United Kingdom,GBR,2016,,54.700001,65655204.0,
United States,USA,2010,200.0,61.09,311182848.0,
United States,USA,2015,198.0,62.279999,324607776.0,North America
United States,USA,2016,,62.540001,327210208.0,
