Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: Age-standardized","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),World Bank's income classification
Afghanistan,AFG,2019,584.8744,2079.9219,37769496.0,Low-income countries
Armenia,ARM,2019,296.5095,14317.553,2820604.0,Upper-middle-income countries
Azerbaijan,AZE,2019,622.8819,14442.041,10232761.0,Upper-middle-income countries
Bahrain,BHR,2019,225.25455,49768.977,1494195.0,High-income countries
Barbados,BRB,2019,206.21284,15954.803,280193.0,High-income countries
Belarus,BLR,2019,368.76205,19279.209,9673971.0,Upper-middle-income countries
Brazil,BRA,2019,173.25754,14685.128,211782880.0,Upper-middle-income countries
Burkina Faso,BFA,2019,275.3286,2110.0623,20951638.0,Low-income countries
Burundi,BDI,2019,279.5658,729.65845,11874838.0,Low-income countries
Cape Verde,CPV,2019,188.82494,6835.0786,577037.0,Lower-middle-income countries
Central African Republic,CAF,2019,514.4418,861.7668,5209329.0,Low-income countries
China,CHN,2019,215.97597,15977.764,1421864064.0,Upper-middle-income countries
Cote d'Ivoire,CIV,2019,283.35126,5126.6343,26147544.0,Lower-middle-income countries
Czechia,CZE,2019,185.99837,40989.727,10536876.0,High-income countries
Democratic Republic of Congo,COD,2019,297.76544,1059.8921,89906896.0,Low-income countries
Dominican Republic,DOM,2019,272.99304,18171.06,10881886.0,Upper-middle-income countries
Egypt,EGY,2019,420.40488,11180.697,105618672.0,Lower-middle-income countries
El Salvador,SLV,2019,125.65146,9021.426,6280222.0,Lower-middle-income countries
Ethiopia,ETH,2019,245.25061,2181.659,114120592.0,Low-income countries
Fiji,FJI,2019,386.72797,13241.354,918472.0,Upper-middle-income countries
Georgia,GEO,2019,503.6093,14989.258,3770814.0,Upper-middle-income countries
Germany,DEU,2019,108.51354,53874.316,83148144.0,High-income countries
Greece,GRC,2019,124.782265,29721.586,10574026.0,High-income countries
Guatemala,GTM,2019,149.97812,8671.703,17106338.0,Upper-middle-income countries
Haiti,HTI,2019,539.8603,3101.5942,11160441.0,Low-income countries
High-income countries,,2019,,49982.78,1214846354.0,
Honduras,HND,2019,379.19327,5613.6606,9958832.0,Lower-middle-income countries
India,IND,2019,229.8242,6608.624,1383112064.0,Lower-middle-income countries
Indonesia,IDN,2019,317.66638,11857.789,269582880.0,Upper-middle-income countries
Italy,ITA,2019,96.42041,42739.05,59727936.0,High-income countries
Jamaica,JAM,2019,244.31384,10244.366,2813776.0,Upper-middle-income countries
Japan,JPN,2019,65.30056,41697.41,125791680.0,High-income countries
Jordan,JOR,2019,220.90321,9551.165,10698682.0,Upper-middle-income countries
Laos,LAO,2019,313.45258,7840.0713,7212058.0,Lower-middle-income countries
Lithuania,LTU,2019,280.07233,37184.453,2849083.0,High-income countries
Low-income countries,,2019,,2011.7366,661633048.0,
Lower-middle-income countries,,2019,,7259.8174,3326051409.0,
Madagascar,MDG,2019,356.23752,1585.4717,27533134.0,Low-income countries
Malawi,MWI,2019,196.21138,1517.7031,18867340.0,Low-income countries
Malaysia,MYS,2019,238.17381,27674.402,32804024.0,Upper-middle-income countries
Mexico,MEX,2019,143.93054,20064.5,125085312.0,Upper-middle-income countries
Micronesia (country),FSM,2019,465.2429,3540.7825,111392.0,Lower-middle-income countries
Morocco,MAR,2019,452.22836,8217.599,36304408.0,Lower-middle-income countries
Mozambique,MOZ,2019,446.9423,1285.1848,30285602.0,Low-income countries
