Entity,Code,Year,Cereal yield (kg per hectare),$2.15 a day - Share of population in poverty
Sub-Saharan Africa (PIP),,1990,,53.790874
Sub-Saharan Africa (PIP),,1995,,58.550495
Sub-Saharan Africa (PIP),,2000,,56.488373
Sub-Saharan Africa (PIP),,2005,,48.85021
Sub-Saharan Africa (PIP),,2010,,42.137646
Sub-Saharan Africa (PIP),,2015,,37.684105
Sub-Saharan Africa (WB),,1990,1075.2352,
Sub-Saharan Africa (WB),,1995,1055.2726,
Sub-Saharan Africa (WB),,2000,1182.2107,
Sub-Saharan Africa (WB),,2005,1257.8971,
Sub-Saharan Africa (WB),,2010,1442.9236,
Sub-Saharan Africa (WB),,2015,1427.8989,
Sub-Saharan Africa (WB),,2020,1546.4152,
