Entity,Code,Year,"Meat, chicken | 00001058 || Production | 005510 || tonnes"
Dominican Republic,DOM,1961,19000.0
Dominican Republic,DOM,1970,28000.0
Dominican Republic,DOM,1980,66088.0
Dominican Republic,DOM,1990,109716.0
Dominican Republic,DOM,2000,211017.88
Dominican Republic,DOM,2010,278422.5
Dominican Republic,DOM,2021,346883.12
Gabon,GAB,1961,216.0
Gabon,GAB,1970,264.0
Gabon,GAB,1980,1760.0
Gabon,GAB,1990,2560.0
Gabon,GAB,2000,3760.0
Gabon,GAB,2010,3760.0
Gabon,GAB,2021,4118.81
Yemen,YEM,1961,1310.0
Yemen,YEM,1970,1359.0
Yemen,YEM,1980,6062.0
Yemen,YEM,1990,39035.0
Yemen,YEM,2000,66734.0
Yemen,YEM,2010,144103.0
Yemen,YEM,2021,205941.3
