Entity,Code,Year,"Meat, chicken | 00001058 || Yield | 005424 || kilograms per animal"
China,CHN,1961,1.0
China,CHN,1970,1.0
China,CHN,1980,1.0
China,CHN,1990,1.1894
China,CHN,2000,1.3511
China,CHN,2010,1.375
China,CHN,2021,1.3253
Micronesia (FAO),,1961,0.8491
Micronesia (FAO),,1970,0.849
Micronesia (FAO),,1980,0.849
Micronesia (FAO),,1990,0.84919995
Micronesia (FAO),,2000,0.8328
Micronesia (FAO),,2010,0.8404
Micronesia (FAO),,2021,0.8752
Venezuela,VEN,1961,1.3478999
Venezuela,VEN,1970,1.4629999
Venezuela,VEN,1980,1.6123999
Venezuela,VEN,1990,1.7141
Venezuela,VEN,2000,1.7560999
Venezuela,VEN,2010,1.7493999
Venezuela,VEN,2021,1.7619
