Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Rate)
Botswana,BWA,1990,1.42
Botswana,BWA,1995,2.31
Botswana,BWA,2000,10.8
Botswana,BWA,2005,0.81
Botswana,BWA,2010,2.01
Botswana,BWA,2015,0.24
Botswana,BWA,2019,2.4
Cape Verde,CPV,1990,0.0
Cape Verde,CPV,1995,0.01
Cape Verde,CPV,2000,1.48
Cape Verde,CPV,2005,0.4
Cape Verde,CPV,2010,0.28
Cape Verde,CPV,2015,0.02
Cape Verde,CPV,2019,9.93
Czechia,CZE,1990,0.0
Czechia,CZE,1995,0.0
Czechia,CZE,2000,0.0
Czechia,CZE,2005,0.0
Czechia,CZE,2010,0.0
Czechia,CZE,2015,0.0
Czechia,CZE,2019,0.0
Guinea,GIN,1990,563.14
Guinea,GIN,1995,580.37
Guinea,GIN,2000,624.94
Guinea,GIN,2005,671.49
Guinea,GIN,2010,634.21
Guinea,GIN,2015,473.55
Guinea,GIN,2019,381.69
India,IND,1990,73.82
India,IND,1995,51.36
India,IND,2000,25.35
India,IND,2005,24.04
India,IND,2010,18.33
India,IND,2015,14.38
India,IND,2019,8.29
United Arab Emirates,ARE,1990,0.0
United Arab Emirates,ARE,1995,0.0
United Arab Emirates,ARE,2000,0.0
United Arab Emirates,ARE,2005,0.0
United Arab Emirates,ARE,2010,0.0
United Arab Emirates,ARE,2015,0.0
United Arab Emirates,ARE,2019,0.0
