Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number)
Laos,LAO,1990,36
Laos,LAO,1995,62
Laos,LAO,2000,98
Laos,LAO,2005,38
Laos,LAO,2010,36
Laos,LAO,2015,12
Laos,LAO,2019,3
Malta,MLT,1990,0
Malta,MLT,1995,0
Malta,MLT,2000,0
Malta,MLT,2005,0
Malta,MLT,2010,0
Malta,MLT,2015,0
Malta,MLT,2019,0
Northern Ireland,,1990,0
Northern Ireland,,1995,0
Northern Ireland,,2000,0
Northern Ireland,,2005,0
Northern Ireland,,2010,0
Northern Ireland,,2015,0
Northern Ireland,,2019,0
Uzbekistan,UZB,1990,0
Uzbekistan,UZB,1995,0
Uzbekistan,UZB,2000,0
Uzbekistan,UZB,2005,0
Uzbekistan,UZB,2010,0
Uzbekistan,UZB,2015,0
Uzbekistan,UZB,2019,0
