Entity,Code,Year,Deaths - Congenital heart anomalies - Sex: Both - Age: Under 5 (Rate),Deaths - Congenital musculoskeletal and limb anomalies - Sex: Both - Age: Under 5 (Rate),Deaths - Digestive congenital anomalies - Sex: Both - Age: Under 5 (Rate),Deaths - Other congenital birth defects - Sex: Both - Age: Under 5 (Rate),Deaths - Urogenital congenital anomalies - Sex: Both - Age: Under 5 (Rate),Deaths - Down syndrome - Sex: Both - Age: Under 5 (Rate),Deaths - Neural tube defects - Sex: Both - Age: Under 5 (Rate),Deaths - Orofacial clefts - Sex: Both - Age: Under 5 (Rate),Deaths - Other chromosomal abnormalities - Sex: Both - Age: Under 5 (Rate)
Mali,MLI,1990,47.57,3.96,24.12,62.67,2.71,6.97,93.43,1.8,7.42
Mali,MLI,1995,42.57,3.62,21.91,55.38,2.47,6.23,81.07,1.64,6.73
Mali,MLI,2000,35.36,3.12,18.56,45.31,2.15,5.09,62.19,0.99,5.53
Mali,MLI,2005,37.02,3.45,18.81,45.19,2.29,5.1,62.09,1.15,5.78
Mali,MLI,2010,36.49,3.59,18.54,43.62,2.29,4.94,61.23,1.18,5.85
Mali,MLI,2015,35.25,3.59,17.54,41.53,2.24,4.85,57.93,1.16,5.81
Mali,MLI,2019,36.22,3.66,17.62,41.87,2.26,5.2,56.67,1.17,6.13
World,OWID_WRL,1990,52.25,2.02,12.23,30.26,2.19,3.4,25.15,1.86,2.65
World,OWID_WRL,1995,47.11,1.89,11.0,28.08,2.01,3.09,22.55,1.43,2.53
World,OWID_WRL,2000,42.91,1.79,10.0,26.22,1.85,2.94,19.56,1.08,2.61
World,OWID_WRL,2005,39.21,1.77,9.45,24.67,1.81,2.61,17.89,0.83,2.81
World,OWID_WRL,2010,34.93,1.67,8.64,22.35,1.7,2.4,15.55,0.61,2.87
World,OWID_WRL,2015,30.77,1.56,7.92,20.22,1.56,2.3,14.3,0.49,2.89
World,OWID_WRL,2019,26.32,1.41,6.89,17.8,1.36,2.15,12.34,0.42,2.76
