Entity,Code,Year,Under-five probability of death,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Continent
Afghanistan,AFG,2019,5.53,5.9917326,
Albania,ALB,2019,1.19,0.93881047,
Algeria,DZA,2019,1.95,2.3451486,
Andorra,AND,2019,0.18,0.29503986,
Angola,AGO,2019,5.42,7.5038376,
Azerbaijan,AZE,2019,2.76,2.0420783,
Bahamas,BHS,2019,1.17,2.3419843,
Bahrain,BHR,2019,0.65,0.71158385,
Bangladesh,BGD,2019,2.92,3.042254,
Benin,BEN,2019,8.5,8.860635,
Botswana,BWA,2019,4.13,3.7740674,
Brazil,BRA,2019,2.0,1.494002,
Burkina Faso,BFA,2019,10.88,8.822931,
Burundi,BDI,2019,6.54,5.6736746,
Cameroon,CMR,2019,7.17,7.509406,
Central African Republic,CAF,2019,12.35,10.590899,
Chad,TCD,2019,11.29,11.433528,
Comoros,COM,2019,4.98,5.307294,
Congo,COG,2019,3.95,5.244944,
Democratic Republic of Congo,COD,2019,5.79,8.4404125,
East Timor,TLS,2019,3.21,5.3917055,
Equatorial Guinea,GNQ,2019,3.81,8.188848,
Eritrea,ERI,2019,4.75,4.0583153,
Europe,,2019,,0.4738411,
Gabon,GAB,2019,3.01,4.3198805,
Ghana,GHA,2019,5.22,4.721351,
Grenada,GRD,2019,1.38,1.645859,
Guinea,GIN,2019,9.71,10.4019,
Guyana,GUY,2019,2.31,2.9432092,
India,IND,2019,3.58,3.4329019,
Laos,LAO,2019,4.09,4.580002,
Lesotho,LSO,2019,6.44,7.7187095,
Malawi,MWI,2019,5.91,4.5564547,
Namibia,NAM,2019,3.51,4.18686,
Nigeria,NGA,2019,10.37,11.680171,
North America,,2019,,0.632825,
Oceania,,2019,,2.1083927,
Pakistan,PAK,2019,6.33,6.7495565,
Somalia,SOM,2019,9.54,11.860052,
South Sudan,SSD,2019,9.26,9.868964,
Sudan,SDN,2019,4.19,5.843216,
Turkmenistan,TKM,2019,2.52,4.2798543,
Yemen,YEM,2019,4.67,6.159503,
