Entity,Code,Year,Under-five probability of death
Denmark,DNK,1950,3.58
Denmark,DNK,1960,2.56
Denmark,DNK,1970,1.67
Denmark,DNK,1980,1.02
Denmark,DNK,1990,0.9
Denmark,DNK,2000,0.56
Denmark,DNK,2010,0.4
Denmark,DNK,2019,0.35
Seychelles,SYC,1950,11.09
Seychelles,SYC,1960,9.5
Seychelles,SYC,1970,7.39
Seychelles,SYC,1980,3.67
Seychelles,SYC,1990,1.91
Seychelles,SYC,2000,1.32
Seychelles,SYC,2010,1.37
Seychelles,SYC,2019,1.15
Spain,ESP,1950,9.91
Spain,ESP,1960,5.42
Spain,ESP,1970,3.27
Spain,ESP,1980,1.53
Spain,ESP,1990,0.95
Spain,ESP,2000,0.54
Spain,ESP,2010,0.39
Spain,ESP,2019,0.3
