Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Prevalence of anemia among children (% of children ages 6-59 months),Continent
Afghanistan,AFG,2019,5.9917326,44.9,
Albania,ALB,2019,0.93881047,30.9,
Algeria,DZA,2019,2.3451486,34.3,
Andorra,AND,2019,0.29503986,14.1,
Angola,AGO,2019,7.5038376,62.4,
Argentina,ARG,2019,0.85804904,19.0,
Azerbaijan,AZE,2019,2.0420783,24.8,
Bahamas,BHS,2019,2.3419843,17.9,
Bangladesh,BGD,2019,3.042254,43.1,
Benin,BEN,2019,8.860635,71.0,
Botswana,BWA,2019,3.7740674,43.3,
Brazil,BRA,2019,1.494002,11.6,
Bulgaria,BGR,2019,0.66952646,24.1,
Burundi,BDI,2019,5.6736746,58.0,
Cape Verde,CPV,2019,1.498705,44.1,
Central African Republic,CAF,2019,10.590899,73.6,
Chad,TCD,2019,11.433528,66.3,
Colombia,COL,2019,1.3719639,22.2,
Congo,COG,2019,5.244944,60.8,
Cote d'Ivoire,CIV,2019,7.9743156,72.2,
Czechia,CZE,2019,0.3022255,18.7,
Djibouti,DJI,2019,5.7923765,52.0,
Dominica,DMA,2019,3.5175667,29.8,
East Timor,TLS,2019,5.3917055,46.3,
Eritrea,ERI,2019,4.0583153,48.8,
Ethiopia,ETH,2019,5.085436,52.1,
Europe,,2019,0.4738411,,
Fiji,FJI,2019,2.694037,39.9,
Gabon,GAB,2019,4.3198805,57.9,
Guatemala,GTM,2019,2.4569812,9.8,
Guyana,GUY,2019,2.9432092,29.3,
Haiti,HTI,2019,6.2499466,60.1,
India,IND,2019,3.4329019,53.4,
Jordan,JOR,2019,1.5526397,32.7,
Laos,LAO,2019,4.580002,41.4,
Lesotho,LSO,2019,7.7187095,51.4,
Madagascar,MDG,2019,6.6052713,49.5,
Maldives,MDV,2019,0.69693106,37.8,
Mali,MLI,2019,10.312911,79.0,
Mauritania,MRT,2019,4.31808,65.5,
Mozambique,MOZ,2019,7.3498373,68.2,
Myanmar,MMR,2019,4.4770675,49.6,
Niger,NER,2019,11.702052,72.0,
North America,,2019,0.632825,,
Oceania,,2019,2.1083927,,
Panama,PAN,2019,1.4845917,16.0,
Peru,PER,2019,1.4917434,29.6,
Sao Tome and Principe,STP,2019,1.7149246,58.8,
Somalia,SOM,2019,11.860052,51.8,
South Sudan,SSD,2019,9.868964,60.5,
Tajikistan,TJK,2019,3.349769,37.0,
Togo,TGO,2019,6.6646004,72.4,
Turkmenistan,TKM,2019,4.2798543,33.1,
Tuvalu,TUV,2019,2.2678556,41.9,
United States,USA,2019,0.6439842,6.1,
Yemen,YEM,2019,6.159503,79.5,
Zimbabwe,ZWE,2019,5.2665887,37.8,
