Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Human Development Index,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,2.8886,0.745,44177964.0,
Andorra,AND,2021,1.1254,0.858,79057.0,
Angola,AGO,2021,5.3044,0.586,34503776.0,
Asia,,2021,,,4693332132.0,
Benin,BEN,2021,4.9731,0.525,12996901.0,
Bhutan,BTN,2021,1.4132,0.666,777500.0,
Brazil,BRA,2021,1.6406,0.754,214326224.0,
Burundi,BDI,2021,5.0779,0.426,12551215.0,
Chad,TCD,2021,6.2549,0.394,17179744.0,
China,CHN,2021,1.164,0.768,1425893504.0,
Congo,COG,2021,4.1707,0.571,5835814.0,
Cote d'Ivoire,CIV,2021,4.418,0.55,27478250.0,
Croatia,HRV,2021,1.4518,0.858,4060139.0,
Democratic Republic of Congo,COD,2021,6.1564,0.479,95894120.0,
Ethiopia,ETH,2021,4.1591,0.498,120283024.0,
Europe,,2021,,,746417727.0,
Georgia,GEO,2021,2.0813,0.802,3757984.0,
Ghana,GHA,2021,3.5633,0.632,32833036.0,
Guinea,GIN,2021,4.3987,0.465,13531909.0,
Haiti,HTI,2021,2.8143,0.535,11447575.0,
Iceland,ISL,2021,1.7329,0.959,370338.0,
India,IND,2021,2.0308,0.633,1407563904.0,
Indonesia,IDN,2021,2.1746,0.705,273753184.0,
Iraq,IRQ,2021,3.4955,0.686,43533592.0,
Israel,ISR,2021,2.9764,0.919,8900057.0,
Italy,ITA,2021,1.2825,0.895,59240336.0,
Jamaica,JAM,2021,1.352,0.709,2827701.0,
Japan,JPN,2021,1.2974,0.925,124612528.0,
Kazakhstan,KAZ,2021,3.0836,0.811,19196468.0,
Laos,LAO,2021,2.4961,0.607,7425055.0,
Madagascar,MDG,2021,3.8514,0.501,28915652.0,
Malaysia,MYS,2021,1.803,0.803,33573872.0,
Mali,MLI,2021,5.9564,0.428,21904990.0,
Micronesia (country),FSM,2021,2.7114,0.628,113143.0,
Mozambique,MOZ,2021,4.6444,0.446,32077074.0,
Myanmar,MMR,2021,2.1514,0.585,53798088.0,
Nicaragua,NIC,2021,2.3213,0.667,6850546.0,
Niger,NER,2021,6.82,0.4,25252722.0,
Nigeria,NGA,2021,5.2374,0.535,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,2.6233,0.816,4520474.0,
Pakistan,PAK,2021,3.4698,0.544,231402112.0,
Palestine,PSE,2021,3.5044,0.715,5133393.0,
Panama,PAN,2021,2.3252,0.805,4351264.0,
Papua New Guinea,PNG,2021,3.2147,0.558,9949438.0,
Paraguay,PRY,2021,2.4689,0.717,6703802.0,
Peru,PER,2021,2.1917,0.762,33715464.0,
Philippines,PHL,2021,2.7476,0.699,113880336.0,
Russia,RUS,2021,1.4927,0.822,145102752.0,
Samoa,WSM,2021,3.9301,0.707,218781.0,
Sao Tome and Principe,STP,2021,3.8226,0.618,223118.0,
Saudi Arabia,SAU,2021,2.4266,0.875,35950396.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,0.8799,0.925,51830136.0,
South Sudan,SSD,2021,4.4692,0.385,10748278.0,
Sudan,SDN,2021,4.4574,0.508,45657204.0,
Syria,SYR,2021,2.7468,0.577,21324366.0,
Tajikistan,TJK,2021,3.1855,0.685,9750078.0,
Tanzania,TZA,2021,4.7259,0.549,63588332.0,
Tonga,TON,2021,3.2367,0.745,106034.0,
Turkey,TUR,2021,1.8892,0.838,84775408.0,
Tuvalu,TUV,2021,3.1635,0.641,11229.0,
United States,USA,2021,1.6619,0.921,336997632.0,
Vietnam,VNM,2021,1.9437,0.703,97468024.0,
Yemen,YEM,2021,3.7948,0.455,32981644.0,
Zimbabwe,ZWE,2021,3.4908,0.593,15993525.0,
