Entity,Code,Year,Civil liberties
Argentina,ARG,1972,3
Argentina,ARG,1980,5
Argentina,ARG,1990,3
Argentina,ARG,2000,2
Argentina,ARG,2010,2
Argentina,ARG,2022,2
Australia,AUS,1972,1
Australia,AUS,1980,1
Australia,AUS,1990,1
Australia,AUS,2000,1
Australia,AUS,2010,1
Australia,AUS,2022,1
Botswana,BWA,1972,4
Botswana,BWA,1980,3
Botswana,BWA,1990,2
Botswana,BWA,2000,2
Botswana,BWA,2010,2
Botswana,BWA,2022,2
China,CHN,1972,7
China,CHN,1980,6
China,CHN,1990,7
China,CHN,2000,6
China,CHN,2010,6
China,CHN,2022,6
