Entity,Code,Year,Annual CO₂ emissions (per capita),Fossil fuels per capita (kWh),Population (historical estimates),World Bank's income classification
Africa,,2022,0.99422127,3545.3096,,
Bangladesh,BGD,2022,0.5964455,2890.0796,,Lower-middle-income countries
China,CHN,2022,7.992761,25344.26,,Upper-middle-income countries
High-income countries,,2022,10.136309,44889.2,,
Hong Kong,HKG,2022,4.081913,29040.893,,High-income countries
Italy,ITA,2022,5.726825,24111.465,,High-income countries
Japan,JPN,2022,8.501681,33936.066,,High-income countries
Kazakhstan,KAZ,2022,13.979704,42896.316,,Upper-middle-income countries
Low-income countries,,2022,0.28599972,,,
Lower-middle-income countries,,2022,1.8575872,5963.7544,,
Mexico,MEX,2022,4.0153365,17093.922,,Upper-middle-income countries
Pakistan,PAK,2022,0.84893465,3545.5544,,Lower-middle-income countries
Philippines,PHL,2022,1.3014648,4432.8384,,Lower-middle-income countries
Qatar,QAT,2022,37.601273,193665.31,,High-income countries
Saudi Arabia,SAU,2022,18.197495,87647.36,,High-income countries
Singapore,SGP,2022,8.911513,146257.7,,High-income countries
South America,,2022,2.4865332,10329.182,,
United Arab Emirates,ARE,2022,25.833244,141325.73,,High-income countries
United Kingdom,GBR,2022,4.7201805,22509.117,,High-income countries
United States,USA,2022,14.949616,63835.86,,High-income countries
Upper-middle-income countries,,2022,6.617815,22382.309,,
Vietnam,VNM,2022,3.4995174,9509.55,,Lower-middle-income countries
World,OWID_WRL,2022,4.658219,17208.133,,
