Entity,Code,Year,Carbon dioxide emissions from transport
China,CHN,1990,94150000.0
China,CHN,1995,127370000.0
China,CHN,2000,248480000.0
China,CHN,2005,397309980.0
China,CHN,2010,568780000.0
China,CHN,2015,828460000.0
China,CHN,2020,896130000.0
Croatia,HRV,1990,3560000.0
Croatia,HRV,1995,3280000.0
Croatia,HRV,2000,4320000.0
Croatia,HRV,2005,5430000.0
Croatia,HRV,2010,5870000.0
Croatia,HRV,2015,5890000.0
Croatia,HRV,2020,5710000.0
Iceland,ISL,1990,630000.0
Iceland,ISL,1995,610000.0
Iceland,ISL,2000,630000.0
Iceland,ISL,2005,670000.0
Iceland,ISL,2010,850000.0
Iceland,ISL,2015,850000.0
Iceland,ISL,2020,850000.0
Malaysia,MYS,1990,14560000.0
Malaysia,MYS,1995,20480000.0
Malaysia,MYS,2000,32210000.0
Malaysia,MYS,2005,40700000.0
Malaysia,MYS,2010,44100000.0
Malaysia,MYS,2015,61210000.0
Malaysia,MYS,2020,59530000.0
Papua New Guinea,PNG,1990,650000.0
Papua New Guinea,PNG,1995,710000.0
Papua New Guinea,PNG,2000,820000.0
Papua New Guinea,PNG,2005,1160000.0
Papua New Guinea,PNG,2010,1130000.0
Papua New Guinea,PNG,2015,1700000.0
Papua New Guinea,PNG,2020,1250000.0
Peru,PER,1990,7140000.0
Peru,PER,1995,8700000.0
Peru,PER,2000,9710000.0
Peru,PER,2005,10080000.0
Peru,PER,2010,16880000.0
Peru,PER,2015,21150000.0
Peru,PER,2020,19920000.0
South America,,1990,185130000.0
South America,,1995,232500000.0
South America,,2000,261310000.0
South America,,2005,284670000.0
South America,,2010,346940000.0
South America,,2015,403259970.0
South America,,2020,352709980.0
Uruguay,URY,1990,1520000.0
Uruguay,URY,1995,2180000.0
Uruguay,URY,2000,2520000.0
Uruguay,URY,2005,2270000.0
Uruguay,URY,2010,3100000.0
Uruguay,URY,2015,3450000.0
Uruguay,URY,2020,3510000.0
