Entity,Code,Year,Carbon dioxide emissions from transport
Canada,CAN,1990,124670000.0
Canada,CAN,1995,137090000.0
Canada,CAN,2000,149970000.0
Canada,CAN,2005,170620000.0
Canada,CAN,2010,174680000.0
Canada,CAN,2015,179820000.0
Canada,CAN,2020,158480000.0
China,CHN,1990,94150000.0
China,CHN,1995,127370000.0
China,CHN,2000,248480000.0
China,CHN,2005,397309980.0
China,CHN,2010,568780000.0
China,CHN,2015,828460000.0
China,CHN,2020,896130000.0
France,FRA,1990,113230000.0
France,FRA,1995,122320000.0
France,FRA,2000,132479990.0
France,FRA,2005,130800000.0
France,FRA,2010,123270000.0
France,FRA,2015,127430000.0
France,FRA,2020,106480000.0
India,IND,1990,64379996.0
India,IND,1995,78290000.0
India,IND,2000,95090000.0
India,IND,2005,115400000.0
India,IND,2010,192920000.0
India,IND,2015,257750000.0
India,IND,2020,269549980.0
New Zealand,NZL,1990,8660000.0
New Zealand,NZL,1995,10780000.0
New Zealand,NZL,2000,12090000.0
New Zealand,NZL,2005,13530000.0
New Zealand,NZL,2010,13610000.0
New Zealand,NZL,2015,14400000.0
New Zealand,NZL,2020,13820000.0
Switzerland,CHE,1990,14510000.0
Switzerland,CHE,1995,14370000.0
Switzerland,CHE,2000,16549999.0
Switzerland,CHE,2005,16570000.0
Switzerland,CHE,2010,17180000.0
Switzerland,CHE,2015,16200001.0
Switzerland,CHE,2020,14440000.0
United States,USA,1990,1426970000.0
United States,USA,1995,1537760000.0
United States,USA,2000,1717850000.0
United States,USA,2005,1807720000.0
United States,USA,2010,1679770000.0
United States,USA,2015,1700050000.0
United States,USA,2020,1507920000.0
World,OWID_WRL,1990,4610530000.0
World,OWID_WRL,1995,5025110000.0
World,OWID_WRL,2000,5770750000.0
World,OWID_WRL,2005,6499480000.0
World,OWID_WRL,2010,7009670000.0
World,OWID_WRL,2015,7728980000.0
World,OWID_WRL,2020,7098320000.0
