Entity,Code,Year,Annual CO₂ emissions from land-use change per capita
Australia,AUS,1850,14.209811
Australia,AUS,1860,11.526582
Australia,AUS,1880,14.095253
Australia,AUS,1900,12.863933
Australia,AUS,1920,8.149765
Australia,AUS,1940,1.210244
Australia,AUS,1960,33.117657
Australia,AUS,1980,7.174695
Australia,AUS,2000,10.837112
Australia,AUS,2022,-0.5883555
Brazil,BRA,1850,5.698675
Brazil,BRA,1860,4.9988494
Brazil,BRA,1880,7.7070217
Brazil,BRA,1900,9.270524
Brazil,BRA,1920,14.770117
Brazil,BRA,1940,7.6750383
Brazil,BRA,1960,14.602597
Brazil,BRA,1980,11.98528
Brazil,BRA,2000,11.139802
Brazil,BRA,2022,5.169167
China,CHN,1850,0.5788961
China,CHN,1860,0.42039484
China,CHN,1880,-0.023028797
China,CHN,1900,0.2960344
China,CHN,1920,0.6588598
China,CHN,1940,0.34159714
China,CHN,1960,0.80960184
China,CHN,1980,0.66559947
China,CHN,2000,0.53137624
China,CHN,2022,0.6883459
European Union (27),,1850,1.8929787
European Union (27),,1860,1.5656618
European Union (27),,1880,1.359095
European Union (27),,1900,1.189947
European Union (27),,1920,0.82322806
European Union (27),,1940,0.50764334
European Union (27),,1960,-0.118150994
European Union (27),,1980,-0.41468772
European Union (27),,2000,-0.46167833
European Union (27),,2022,-0.27199996
India,IND,1850,1.2778811
India,IND,1860,0.49950665
India,IND,1880,0.44134545
India,IND,1900,0.39040163
India,IND,1920,0.88048023
India,IND,1940,1.3605614
India,IND,1960,1.0776458
India,IND,1980,0.27641526
India,IND,2000,0.18041036
India,IND,2022,0.02427927
Indonesia,IDN,1850,5.551816
Indonesia,IDN,1860,14.135764
Indonesia,IDN,1880,9.5166855
Indonesia,IDN,1900,15.296746
Indonesia,IDN,1920,10.323266
Indonesia,IDN,1940,7.8901553
Indonesia,IDN,1960,5.04331
Indonesia,IDN,1980,1.50896
Indonesia,IDN,2000,3.9074914
Indonesia,IDN,2022,3.3343337
Mexico,MEX,1850,2.8492398
Mexico,MEX,1860,2.3831308
Mexico,MEX,1880,4.7458606
Mexico,MEX,1900,9.153201
Mexico,MEX,1920,3.5031428
Mexico,MEX,1940,6.710007
Mexico,MEX,1960,4.7837305
Mexico,MEX,1980,0.9361079
Mexico,MEX,2000,1.2966243
Mexico,MEX,2022,2.7506077
United Kingdom,GBR,1850,0.31321824
United Kingdom,GBR,1860,0.048163895
United Kingdom,GBR,1880,1.0851098
United Kingdom,GBR,1900,0.9043757
United Kingdom,GBR,1920,0.37658757
United Kingdom,GBR,1940,0.32291147
United Kingdom,GBR,1960,0.41456604
United Kingdom,GBR,1980,0.04560231
United Kingdom,GBR,2000,0.010902337
United Kingdom,GBR,2022,0.23597758
United States,USA,1850,34.180244
United States,USA,1860,30.621532
United States,USA,1880,31.039385
United States,USA,1900,20.420107
United States,USA,1920,11.701931
United States,USA,1940,4.68335
United States,USA,1960,1.0811895
United States,USA,1980,1.1907867
United States,USA,2000,0.48734522
United States,USA,2022,0.4190179
