Entity,Code,Year,Annual CO₂ emissions (per capita),Population (historical estimates),Continent
Africa,,2021,1.0311713,1393676724.0,
Asia,,2021,4.567902,4693332132.0,
Brazil,BRA,2021,2.3198576,214326224.0,
China,CHN,2021,7.9502664,1425893504.0,
Europe,,2021,7.1178274,746417727.0,
India,IND,2021,1.8998938,1407563904.0,
Indonesia,IDN,2021,2.2499223,273753184.0,
Japan,JPN,2021,8.523455,124612528.0,
Mexico,MEX,2021,3.6998608,126705136.0,
Morocco,MAR,2021,1.9592135,37076588.0,
Nigeria,NGA,2021,0.6143976,213401328.0,
North America,,2021,10.459453,597123384.0,
Oceania,,2021,9.883469,44492065.0,
Pakistan,PAK,2021,0.96563566,231402112.0,
Philippines,PHL,2021,1.253542,113880336.0,
Qatar,QAT,2021,39.884155,2688239.0,
Somalia,SOM,2021,0.03812561,17065588.0,
South America,,2021,2.50236,434254167.0,
Tanzania,TZA,2021,0.24245292,63588332.0,
Turkey,TUR,2021,5.340025,84775408.0,
United States,USA,2021,14.9324875,336997632.0,
