Entity,Code,Year,Coal consumption - TWh
Africa (EI),,1965,323.49615
Africa (EI),,1970,360.7569
Africa (EI),,1980,543.55707
Africa (EI),,1990,877.6782
Africa (EI),,2000,963.7305
Africa (EI),,2010,1165.736
Africa (EI),,2022,1103.5779
Asia Pacific (EI),,1965,2780.7314
Asia Pacific (EI),,1970,3631.1384
Asia Pacific (EI),,1980,5784.0054
Asia Pacific (EI),,1990,9777.626
Asia Pacific (EI),,2000,13352.603
Asia Pacific (EI),,2010,28368.922
Asia Pacific (EI),,2022,36249.67
CIS (EI),,1965,3459.1882
CIS (EI),,1970,3630.3936
CIS (EI),,1980,3925.49
CIS (EI),,1990,2673.0437
CIS (EI),,2000,1467.0602
CIS (EI),,2010,1469.3591
CIS (EI),,2022,1353.0499
Europe (EI),,1965,6094.7705
Europe (EI),,1970,5725.027
Europe (EI),,1980,5886.5376
Europe (EI),,1990,6665.6685
Europe (EI),,2000,4600.32
Europe (EI),,2010,4257.2803
Europe (EI),,2022,2797.3564
Middle East (EI),,1965,2.5297084
Middle East (EI),,1970,4.0724187
Middle East (EI),,1980,14.00031
Middle East (EI),,1990,35.826397
Middle East (EI),,2000,89.4839
Middle East (EI),,2010,115.21779
Middle East (EI),,2022,102.82911
North America,,1965,3412.8337
North America,,1970,3624.5098
North America,,1980,4579.549
North America,,1990,5696.6265
North America,,2000,6721.992
North America,,2010,6254.897
North America,,2022,2958.2944
North America (EI),,1965,3412.2522
North America (EI),,1970,3624.0444
North America (EI),,1980,4578.909
North America (EI),,1990,5692.842
North America (EI),,2000,6717.9116
North America (EI),,2010,6235.6455
North America (EI),,2022,2918.2441
South and Central America (EI),,1965,67.209816
South and Central America (EI),,1970,83.17477
South and Central America (EI),,1980,125.10869
South and Central America (EI),,1990,183.94098
South and Central America (EI),,2000,243.51869
South and Central America (EI),,2010,325.32047
South and Central America (EI),,2022,329.3064
