Entity,Code,Year,"Coffee, green | 00000656 || Production | 005510 || tonnes"
Africa,,1961,870970.0
Africa,,1970,1295001.0
Africa,,1980,1163648.0
Africa,,1990,1254209.0
Africa,,2000,1280778.2
Africa,,2010,1085218.6
Africa,,2021,1352896.2
Asia,,1961,200714.0
Asia,,1970,334964.0
Asia,,1980,632728.0
Asia,,1990,863875.0
Asia,,2000,1949181.0
Asia,,2010,2379412.2
Asia,,2021,3358628.2
Europe,,1961,5.0
Europe,,1970,8.0
Europe,,1980,9.0
Europe,,1990,9.0
Europe,,2000,0.0
Europe,,2010,0.0
North America,,1961,607447.0
North America,,1970,714770.0
North America,,1980,957828.0
North America,,1990,1239299.0
North America,,2000,1319267.4
North America,,2010,1122091.5
North America,,2021,1159953.2
Oceania,,1961,5241.0
Oceania,,1970,28668.0
Oceania,,1980,55691.0
Oceania,,1990,61014.0
Oceania,,2000,83109.19
Oceania,,2010,52316.97
Oceania,,2021,42580.21
South America,,1961,2843499.0
South America,,1970,1476227.0
South America,,1980,2029315.0
South America,,1990,2644690.0
South America,,2000,2869700.0
South America,,2010,3838407.5
South America,,2021,4003199.8
