Entity,Code,Year,Share of global annual CO₂ consumption-based emissions,Share of world population,World Bank's income classification
Albania,ALB,2021,0.016182765,0.0360931,Upper-middle-income countries
Argentina,ARG,2021,0.4809847,0.57245034,Upper-middle-income countries
Australia,AUS,2021,0.91890436,0.32772952,High-income countries
Austria,AUT,2021,0.2394905,0.11280507,High-income countries
Azerbaijan,AZE,2021,0.1055213,0.13039078,Upper-middle-income countries
Bahrain,BHR,2021,0.048891384,0.018500587,High-income countries
Bangladesh,BGD,2021,0.407066,2.1412306,Lower-middle-income countries
Belarus,BLR,2021,0.16700706,0.121100195,Upper-middle-income countries
Belgium,BEL,2021,0.5422649,0.14680722,High-income countries
Benin,BEN,2021,0.025095148,0.16432439,Lower-middle-income countries
Bolivia,BOL,2021,0.060411498,0.15272504,Lower-middle-income countries
Botswana,BWA,2021,0.031133695,0.032726355,Upper-middle-income countries
Brazil,BRA,2021,1.2554755,2.709802,Upper-middle-income countries
Brunei,BRN,2021,0.026299447,0.0056311213,High-income countries
Burkina Faso,BFA,2021,0.01732224,0.27942678,Low-income countries
Cameroon,CMR,2021,0.030175019,0.34388188,Lower-middle-income countries
Canada,CAN,2021,1.36352,0.48240724,High-income countries
Chile,CHL,2021,0.25697666,0.24645919,High-income countries
China,CHN,2021,28.031118,18.028072,Upper-middle-income countries
Colombia,COL,2021,0.2852008,0.651342,Upper-middle-income countries
Costa Rica,CRI,2021,0.033307828,0.065163314,Upper-middle-income countries
Cote d'Ivoire,CIV,2021,0.042711046,0.34741718,Lower-middle-income countries
Croatia,HRV,2021,0.06239355,0.051333766,High-income countries
Cyprus,CYP,2021,0.018565029,0.01573077,High-income countries
Egypt,EGY,2021,0.7204752,1.3814403,Lower-middle-income countries
Ethiopia,ETH,2021,0.06151636,1.5207806,Low-income countries
Finland,FIN,2021,0.14041881,0.06999337,High-income countries
France,FRA,2021,1.1294639,0.81589377,High-income countries
Germany,DEU,2021,2.2558055,1.0545638,High-income countries
Ghana,GHA,2021,0.06784025,0.41511962,Lower-middle-income countries
Guinea,GIN,2021,0.01663692,0.17108868,Low-income countries
High-income countries,,2021,39.14831,15.419633,
India,IND,2021,6.6484365,17.796326,Lower-middle-income countries
Indonesia,IDN,2021,1.6949105,3.4611578,Lower-middle-income countries
Iran,IRN,2021,1.6813297,1.1116469,Lower-middle-income countries
Japan,JPN,2021,3.3270693,1.57552,High-income countries
Kazakhstan,KAZ,2021,0.4455101,0.2427077,Upper-middle-income countries
Kenya,KEN,2021,0.09056812,0.67016864,Lower-middle-income countries
Kuwait,KWT,2021,0.28320235,0.053735647,High-income countries
Laos,LAO,2021,0.06692479,0.093877584,Lower-middle-income countries
Low-income countries,,2021,0.22983463,8.834947,
Lower-middle-income countries,,2021,15.178517,43.126945,
Malawi,MWI,2021,0.008771873,0.251473,Low-income countries
Mexico,MEX,2021,1.3750252,1.6019776,Upper-middle-income countries
Mongolia,MNG,2021,0.09568354,0.042327184,Lower-middle-income countries
Morocco,MAR,2021,0.20664799,0.46877235,Lower-middle-income countries
Nicaragua,NIC,2021,0.018361326,0.08661386,Lower-middle-income countries
Oman,OMN,2021,0.18873878,0.057153944,High-income countries
Pakistan,PAK,2021,0.66861475,2.9256983,Lower-middle-income countries
Qatar,QAT,2021,0.19499817,0.033988353,High-income countries
Rwanda,RWA,2021,0.0060461443,0.17020342,Low-income countries
Singapore,SGP,2021,0.44723174,0.07511495,High-income countries
Spain,ESP,2021,0.73929864,0.600394,High-income countries
Sri Lanka,LKA,2021,0.1042302,0.27528924,Lower-middle-income countries
Switzerland,CHE,2021,0.32234192,0.10988854,High-income countries
Tanzania,TZA,2021,0.058347467,0.8039696,Lower-middle-income countries
United States,USA,2021,15.134972,4.2607794,High-income countries
Upper-middle-income countries,,2021,40.24311,32.224342,
