Entity,Code,Year,Annual consumption-based CO₂ emissions
Norway,NOR,2005,44136824.0
Norway,NOR,2010,55389880.0
Norway,NOR,2015,50440560.0
Norway,NOR,2021,44632668.0
Sweden,SWE,1990,85622020.0
Sweden,SWE,1995,85420580.0
Sweden,SWE,2000,85858040.0
Sweden,SWE,2005,91312600.0
Sweden,SWE,2010,86144390.0
Sweden,SWE,2015,71267870.0
Sweden,SWE,2021,68159280.0
Switzerland,CHE,1990,85885300.0
Switzerland,CHE,1995,90501320.0
Switzerland,CHE,2000,89438290.0
Switzerland,CHE,2005,108470984.0
Switzerland,CHE,2010,100890130.0
Switzerland,CHE,2015,142358110.0
Switzerland,CHE,2021,118675150.0
United Kingdom,GBR,1990,669606140.0
United Kingdom,GBR,1995,644332500.0
United Kingdom,GBR,2000,744108100.0
United Kingdom,GBR,2005,750134460.0
United Kingdom,GBR,2010,676785600.0
United Kingdom,GBR,2015,588640500.0
United Kingdom,GBR,2021,513400060.0
United States,USA,1990,5048029700.0
United States,USA,1995,5372450000.0
United States,USA,2000,6253939700.0
United States,USA,2005,6724063700.0
United States,USA,2010,5965814000.0
United States,USA,2015,5790281000.0
United States,USA,2021,5572173300.0
