Entity,Code,Year,Cropland | 00006620 || Area | 005110 || hectares
China,CHN,1961,104350000.0
China,CHN,1970,101600000.0
China,CHN,1980,99305000.0
China,CHN,1990,131300000.0
China,CHN,2000,130040000.0
China,CHN,2010,135268300.0
China,CHN,2020,134881000.0
European Union (27),,1961,126634900.0
European Union (27),,1970,121544400.0
European Union (27),,1980,117396700.0
European Union (27),,1990,115517304.0
European Union (27),,2000,122180120.0
European Union (27),,2010,113028620.0
European Union (27),,2020,110777300.0
India,IND,1961,160986000.0
India,IND,1970,165060000.0
India,IND,1980,168154000.0
India,IND,1990,170109000.0
India,IND,2000,170130000.0
India,IND,2010,169234000.0
India,IND,2020,168669070.0
United States,USA,1961,182509000.0
United States,USA,1970,190500000.0
United States,USA,1980,190624000.0
United States,USA,1990,187776000.0
United States,USA,2000,178068000.0
United States,USA,2010,160416500.0
United States,USA,2020,160436800.0
