Entity,Code,Year,Oil spot crude price
Brent,,1980,231.65335
Brent,,1990,149.23067
Brent,,2000,179.23068
Brent,,2010,500.01102
Brent,,2022,637.28253
Dubai,,1972,11.95062
Dubai,,1980,224.49344
Dubai,,1990,127.107216
Dubai,,2000,165.21577
Dubai,,2010,489.20825
Dubai,,2022,606.21094
Nigerian Forcados,,1980,232.5968
Nigerian Forcados,,1990,150.032
Nigerian Forcados,,2000,178.74138
Nigerian Forcados,,2010,509.8156
Nigerian Forcados,,2022,637.7857
West Texas Intermediate,,1980,238.7608
West Texas Intermediate,,1990,153.87225
West Texas Intermediate,,2000,190.99976
West Texas Intermediate,,2010,499.7211
West Texas Intermediate,,2022,594.8893
