Entity,Code,Year,Cumulative CO₂ emissions from cement
Belarus,BLR,1928,21108.0
Belarus,BLR,1940,589870.0
Belarus,BLR,1960,3948011.0
Belarus,BLR,1980,24802912.0
Belarus,BLR,2000,43656430.0
Belarus,BLR,2022,85332370.0
Greece,GRC,1928,72686.0
Greece,GRC,1940,1486664.0
Greece,GRC,1960,7458209.0
Greece,GRC,1980,65485850.0
Greece,GRC,2000,185692540.0
Greece,GRC,2022,286271840.0
International aviation,,1960,0.0
International aviation,,1980,0.0
International aviation,,2000,0.0
International aviation,,2022,0.0
Maldives,MDV,1980,0.0
Maldives,MDV,2000,0.0
Maldives,MDV,2022,0.0
Niue,NIU,1980,0.0
Niue,NIU,2000,0.0
Niue,NIU,2022,0.0
