Entity,Code,Year,Cumulative CO₂ emissions including land-use change
China,CHN,1920,3984492300.0
China,CHN,1940,9852863000.0
China,CHN,1960,21395940000.0
China,CHN,1980,48933134000.0
China,CHN,2000,127868800000.0
China,CHN,2022,322660100000.0
European Union (27),,1850,282536800.0
European Union (27),,1860,3215220700.0
European Union (27),,1880,12729719000.0
European Union (27),,1900,28105292000.0
European Union (27),,1920,51219878000.0
European Union (27),,1940,77599870000.0
European Union (27),,1960,108251940000.0
European Union (27),,1980,171106240000.0
European Union (27),,2000,242913660000.0
European Union (27),,2022,311905940000.0
India,IND,1860,373464480.0
India,IND,1880,1405476200.0
India,IND,1900,3858623500.0
India,IND,1920,6580868600.0
India,IND,1940,16545270000.0
India,IND,1960,30546522000.0
India,IND,1980,40884314000.0
India,IND,2000,56261087000.0
India,IND,2022,99420660000.0
United Kingdom,GBR,1850,130886760.0
United Kingdom,GBR,1860,1461825200.0
United Kingdom,GBR,1880,6863807500.0
United Kingdom,GBR,1900,14543103000.0
United Kingdom,GBR,1920,24458793000.0
United Kingdom,GBR,1940,33225304000.0
United Kingdom,GBR,1960,43847470000.0
United Kingdom,GBR,1980,56364573000.0
United Kingdom,GBR,2000,67828093000.0
United Kingdom,GBR,2022,78481660000.0
United States,USA,1850,826429800.0
United States,USA,1860,11000765000.0
United States,USA,1880,36593037000.0
United States,USA,1900,74427510000.0
United States,USA,1920,126414130000.0
United States,USA,1940,177258170000.0
United States,USA,1960,237091670000.0
United States,USA,1980,324457270000.0
United States,USA,2000,431419750000.0
United States,USA,2022,554793400000.0
