Entity,Code,Year,Mean income or consumption
China,CHN,1990,1.9003342
China,CHN,2010,7.361189
Ethiopia,ETH,2010,3.3834558
India,IND,2021,4.8983865
Madagascar,MDG,1980,3.3239706
Madagascar,MDG,2010,1.6936437
Mauritania,MRT,2000,4.8774137
South Korea,KOR,2010,37.440643
Spain,ESP,1980,21.007597
Spain,ESP,1990,26.671322
Spain,ESP,2000,37.22118
Spain,ESP,2010,46.150215
United States,USA,1963,35.805897
United States,USA,1970,45.733093
United States,USA,1980,50.53232
United States,USA,1990,58.86926
United States,USA,2000,68.31815
United States,USA,2010,68.57991
United States,USA,2021,87.60349
World,OWID_WRL,1990,11.587182
World,OWID_WRL,2000,12.5135975
World,OWID_WRL,2010,15.077601
