Entity,Code,Year,Total | 00002901 || Food available for consumption | 0684pc || grams of fat per day per capita
Antigua and Barbuda,ATG,1961,48.622566
Antigua and Barbuda,ATG,1970,73.252914
Antigua and Barbuda,ATG,1980,75.39557
Antigua and Barbuda,ATG,1990,95.741486
Antigua and Barbuda,ATG,2000,78.114296
Antigua and Barbuda,ATG,2010,94.24245
Antigua and Barbuda,ATG,2020,90.129166
Micronesia (FAO),,1961,116.49
Micronesia (FAO),,1970,105.29
Micronesia (FAO),,1980,107.05
Micronesia (FAO),,1990,93.62
Micronesia (FAO),,2000,104.18
Micronesia (FAO),,2010,116.78
Micronesia (FAO),,2020,125.65
Suriname,SUR,1961,44.41425
Suriname,SUR,1970,43.571415
Suriname,SUR,1980,47.915646
Suriname,SUR,1990,47.467407
Suriname,SUR,2000,65.797714
Suriname,SUR,2010,78.368935
Suriname,SUR,2020,75.31602
