Entity,Code,Year,Daily protein supply (FAO (2017)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2013,,,1140180888.0,
Albania,ALB,2013,111.42,11363.318,2887019.0,
Angola,AGO,2013,57.26,8100.3853,26147012.0,
Asia,,2013,,,4365286895.0,
Bangladesh,BGD,2013,55.84,3932.7083,154030144.0,
Belize,BLZ,2013,73.27,9109.572,344695.0,
Bolivia,BOL,2013,66.01,7305.228,10743352.0,
Brazil,BRA,2013,94.99,15751.484,201721776.0,
Burkina Faso,BFA,2013,79.38,1823.595,17636414.0,
China,CHN,2013,98.04,11101.938,1376100352.0,
Congo,COG,2013,51.66,5105.17,4828073.0,
Costa Rica,CRI,2013,75.07,18044.945,4791541.0,
Cyprus,CYP,2013,77.61,33471.805,1166972.0,
Ethiopia,ETH,2013,60.4,1518.1438,97084376.0,
Europe,,2013,,,741180502.0,
Finland,FIN,2013,117.72,45328.574,5438873.0,
France,FRA,2013,110.52,42813.934,63335180.0,
Germany,DEU,2013,101.59,49954.17,81680592.0,
Grenada,GRD,2013,69.19,12420.148,116954.0,
Haiti,HTI,2013,47.72,3099.4773,10261205.0,
Hong Kong,HKG,2013,129.18,55229.605,7296820.0,
India,IND,2013,60.25,4780.12,1291132032.0,
Indonesia,IDN,2013,62.18,9402.108,253275920.0,
Iran,IRN,2013,87.28,14113.458,78458928.0,
Israel,ISR,2013,128.14,36436.383,7726675.0,
Japan,JPN,2013,87.73,39569.637,127678920.0,
Kazakhstan,KAZ,2013,96.41,23720.816,17345734.0,
Kiribati,KIR,2013,73.33,1932.2354,113316.0,
Liberia,LBR,2013,37.66,1635.9583,4427319.0,
Macao,MAC,2013,94.84,157602.48,593382.0,
Malaysia,MYS,2013,81.58,22350.908,30134806.0,
Maldives,MDV,2013,122.43,17768.61,400741.0,
Mali,MLI,2013,85.2,1930.135,17004038.0,
Mauritania,MRT,2013,84.96,4943.233,3742965.0,
Mexico,MEX,2013,87.63,18844.031,117290680.0,
Mongolia,MNG,2013,80.79,10504.814,2845160.0,
Montenegro,MNE,2013,112.07,17384.854,633951.0,
Morocco,MAR,2013,97.93,6352.433,33803528.0,
Mozambique,MOZ,2013,45.7,1179.67,25251738.0,
Myanmar,MMR,2013,82.61,3409.649,50648336.0,
Nepal,NPL,2013,69.15,2982.287,27381558.0,
Niger,NER,2013,80.94,1089.8732,18653204.0,
North America,,2013,,,560056144.0,
Oceania,,2013,,,39057783.0,
Peru,PER,2013,74.92,11620.645,30038810.0,
Portugal,PRT,2013,110.88,30042.89,10464537.0,
Russia,RUS,2013,102.84,26332.396,143956864.0,
Serbia,SRB,2013,82.22,15402.562,7566674.0,
Slovakia,SVK,2013,72.51,26650.363,5414744.0,
South America,,2013,,,405147963.0,
South Korea,KOR,2013,96.2,37021.133,50098228.0,
Spain,ESP,2013,104.88,35363.51,46603460.0,
Sudan,SDN,2013,70.71,4692.278,35990708.0,
Switzerland,CHE,2013,93.08,67080.37,8088370.0,
Tajikistan,TJK,2013,63.38,2741.2246,8136612.0,
Tanzania,TZA,2013,57.8,2171.4421,49253648.0,
Thailand,THA,2013,60.88,15442.38,69578600.0,
Uganda,UGA,2013,52.68,2026.6228,35273568.0,
United States,USA,2013,109.6,56438.945,319375168.0,
Vietnam,VNM,2013,81.61,7257.7295,90267736.0,
