Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2017,2599.72145342041,,1263333997.0,
Africa,,2018,2604.2539053543155,,1295265310.0,
Angola,AGO,2017,2373.0,7216.0615,30208634.0,
Angola,AGO,2018,2385.0,6878.5933,31273538.0,
Antigua and Barbuda,ATG,2017,2446.0,20777.875,91133.0,
Antigua and Barbuda,ATG,2018,2445.0,22085.262,91644.0,
Asia,,2017,2822.570362407228,,4547095064.0,
Asia,,2018,2833.014161173749,,4588802751.0,
Austria,AUT,2017,3687.0,54172.99,8797497.0,
Austria,AUT,2018,3695.0,55217.285,8840518.0,
Belize,BLZ,2017,2712.0,8873.754,374702.0,
Belize,BLZ,2018,2775.0,8798.538,382076.0,
Bermuda,BMU,2017,,81834.95,63295.0,
Bermuda,BMU,2018,,81423.41,63591.0,
Brunei,BRN,2017,,60173.05,430290.0,
Brunei,BRN,2018,,59650.23,434283.0,
Burkina Faso,BFA,2017,2721.0,1978.155,19835860.0,
Burkina Faso,BFA,2018,2737.0,2051.2185,20392730.0,
Central African Republic,CAF,2017,1799.0,839.60004,4996741.0,
Central African Republic,CAF,2018,1786.0,854.64746,5094795.0,
Chile,CHL,2017,3020.0,24546.912,18368582.0,
Chile,CHL,2018,3029.0,25071.99,18701452.0,
China,CHN,2017,3179.0,14243.532,1410275968.0,
China,CHN,2018,3206.0,15133.996,1417069440.0,
Cote d'Ivoire,CIV,2017,2784.0,4750.9365,24848024.0,
Cote d'Ivoire,CIV,2018,2778.0,4949.6147,25493990.0,
East Timor,TLS,2017,2280.0,3138.4387,1243238.0,
East Timor,TLS,2018,2287.0,3070.8086,1261850.0,
Egypt,EGY,2017,3344.0,10435.917,101789384.0,
Egypt,EGY,2018,3292.0,10783.762,103740768.0,
Ethiopia,ETH,2017,2334.0,1987.9688,108197944.0,
Ethiopia,ETH,2018,2338.0,2067.4565,111129440.0,
Europe,,2017,3416.811168815188,,745657647.0,
Europe,,2018,3416.92502049181,,746577709.0,
Gabon,GAB,2017,2640.0,14478.13,2140225.0,
Gabon,GAB,2018,2633.0,14254.462,2192013.0,
Gambia,GMB,2017,2544.0,1927.0399,2381189.0,
Gambia,GMB,2018,2533.0,2012.5908,2444916.0,
Germany,DEU,2017,3542.0,53071.457,82624368.0,
Germany,DEU,2018,3554.0,53431.395,82896696.0,
Ghana,GHA,2017,3000.0,4929.568,30222266.0,
Ghana,GHA,2018,3035.0,5125.2495,30870648.0,
Guatemala,GTM,2017,2547.0,8322.217,16578718.0,
Guatemala,GTM,2018,2551.0,8469.115,16850176.0,
Haiti,HTI,2017,2157.0,3187.7898,10863546.0,
Haiti,HTI,2018,2121.0,3197.1414,11012427.0,
India,IND,2017,2531.0,6112.0664,1354195712.0,
India,IND,2018,2533.0,6436.1533,1369003264.0,
Indonesia,IDN,2017,2883.0,10941.921,264498848.0,
Indonesia,IDN,2018,2884.0,11397.432,267066848.0,
Iran,IRN,2017,3083.0,15163.292,84505080.0,
Iran,IRN,2018,3087.0,14628.946,85617560.0,
Italy,ITA,2017,3477.0,41581.12,60004024.0,
Italy,ITA,2018,3503.0,42045.92,59877432.0,
Japan,JPN,2017,2712.0,41444.215,126662464.0,
Japan,JPN,2018,2705.0,41739.203,126255872.0,
Kenya,KEN,2017,2145.0,4312.9087,48948140.0,
Kenya,KEN,2018,2197.0,4464.813,49953300.0,
Kiribati,KIR,2017,3074.0,1962.3196,120378.0,
Kiribati,KIR,2018,3078.0,2033.7283,122276.0,
Latvia,LVA,2017,3216.0,28673.562,1954861.0,
Latvia,LVA,2018,3229.0,30051.402,1935632.0,
Luxembourg,LUX,2017,3468.0,114985.84,596290.0,
Luxembourg,LUX,2018,3465.0,114164.47,607920.0,
Macao,MAC,2017,3299.0,122977.51,638612.0,
Macao,MAC,2018,3327.0,128437.32,650996.0,
Malawi,MWI,2017,2478.0,1454.7775,17881172.0,
Malawi,MWI,2018,2392.0,1478.4248,18367886.0,
Malaysia,MYS,2017,2874.0,25935.143,31975812.0,
Malaysia,MYS,2018,2845.0,26835.81,32399270.0,
Maldives,MDV,2017,2268.0,18973.568,472449.0,
Maldives,MDV,2018,2235.0,19789.49,489773.0,
Mali,MLI,2017,2879.0,2153.8457,19311356.0,
Mali,MLI,2018,2873.0,2185.5757,19934304.0,
Mauritania,MRT,2017,2854.0,5259.065,4160018.0,
Mauritania,MRT,2018,2877.0,5367.2163,4270717.0,
Mexico,MEX,2017,3162.0,20032.408,122839256.0,
Mexico,MEX,2018,3157.0,20278.217,124013864.0,
Moldova,MDA,2017,2414.0,11651.187,3180515.0,
Moldova,MDA,2018,2383.0,12367.764,3141839.0,
Montenegro,MNE,2017,3495.0,19685.809,632445.0,
Montenegro,MNE,2018,3500.0,20690.285,631459.0,
Morocco,MAR,2017,3366.0,7921.619,35528116.0,
Morocco,MAR,2018,3412.0,8072.0864,35927516.0,
Mozambique,MOZ,2017,2074.0,1287.2349,28569448.0,
Mozambique,MOZ,2018,2103.0,1292.8977,29423882.0,
Myanmar,MMR,2017,2703.0,4312.9473,52288344.0,
Myanmar,MMR,2018,2673.0,4556.2812,52666016.0,
Niger,NER,2017,2596.0,1155.9735,21737924.0,
Niger,NER,2018,2601.0,1193.2656,22577060.0,
North America,,2017,3468.185431150257,,581258143.0,
North America,,2018,3471.125283377841,,585864285.0,
Oceania,,2017,3146.6218967455006,,41817267.0,
Oceania,,2018,3139.568055282105,,42540030.0,
Oman,OMN,2017,2936.0,34218.387,4541853.0,
Oman,OMN,2018,2940.0,34212.105,4601160.0,
Pakistan,PAK,2017,2489.0,4891.7197,216379648.0,
Pakistan,PAK,2018,2486.0,5113.434,219731488.0,
Peru,PER,2017,2769.0,12442.746,31605488.0,
Peru,PER,2018,2775.0,12696.236,32203946.0,
Philippines,PHL,2017,2643.0,8001.7563,106738496.0,
Philippines,PHL,2018,2662.0,8365.732,108568832.0,
Poland,POL,2017,3502.0,29958.121,38532816.0,
Poland,POL,2018,3537.0,31739.258,38521464.0,
Russia,RUS,2017,3366.0,25926.443,145452544.0,
Russia,RUS,2018,3345.0,26656.41,145652288.0,
Rwanda,RWA,2017,2181.0,1934.9729,12230343.0,
Rwanda,RWA,2018,2188.0,2050.441,12531810.0,
