Entity,Code,Year,"DALYs from all causes attributed to ambient particulate matter pollution per 100,000 people in, both sexes aged age-standardized"
Angola,AGO,1990,641.7462
Angola,AGO,1995,677.1241
Angola,AGO,2000,784.4109
Angola,AGO,2005,793.0053
Angola,AGO,2010,887.6266
Angola,AGO,2015,1100.1122
Angola,AGO,2019,1259.6707
Sierra Leone,SLE,1990,997.4385
Sierra Leone,SLE,1995,869.0555
Sierra Leone,SLE,2000,890.7876
Sierra Leone,SLE,2005,929.951
Sierra Leone,SLE,2010,894.74036
Sierra Leone,SLE,2015,1094.6482
Sierra Leone,SLE,2019,1071.5981
Sri Lanka,LKA,1990,779.1228
Sri Lanka,LKA,1995,767.8771
Sri Lanka,LKA,2000,913.2871
Sri Lanka,LKA,2005,958.0318
Sri Lanka,LKA,2010,994.22797
Sri Lanka,LKA,2015,801.3562
Sri Lanka,LKA,2019,821.23615
