Entity,Code,Year,"Death rate per 100,000 people - Cause: Hypertensive heart disease - Sex: Both sexes - Age group: Age-standardized"
Eswatini,SWZ,2000,68.8171
Eswatini,SWZ,2005,90.49251
Eswatini,SWZ,2010,84.74798
Eswatini,SWZ,2015,65.1081
Eswatini,SWZ,2019,56.31388
Georgia,GEO,2000,16.753057
Georgia,GEO,2005,31.20942
Georgia,GEO,2010,54.179592
Georgia,GEO,2015,71.49703
Georgia,GEO,2019,61.252598
Honduras,HND,2000,18.186014
Honduras,HND,2005,19.022348
Honduras,HND,2010,19.683683
Honduras,HND,2015,22.64364
Honduras,HND,2019,19.848812
Laos,LAO,2000,27.424198
Laos,LAO,2005,25.579819
Laos,LAO,2010,23.245884
Laos,LAO,2015,21.244392
Laos,LAO,2019,23.031292
Russia,RUS,2000,8.029049
Russia,RUS,2005,10.074399
Russia,RUS,2010,9.783616
Russia,RUS,2015,7.662006
Russia,RUS,2019,6.841423
Sri Lanka,LKA,2000,1.4564658
Sri Lanka,LKA,2005,0.75362027
Sri Lanka,LKA,2010,4.7638855
Sri Lanka,LKA,2015,4.5667586
Sri Lanka,LKA,2019,4.2170987
Sudan,SDN,2000,51.909622
Sudan,SDN,2005,51.6617
Sudan,SDN,2010,50.67681
Sudan,SDN,2015,53.312363
Sudan,SDN,2019,51.392
Vanuatu,VUT,2000,28.177895
Vanuatu,VUT,2005,28.05649
Vanuatu,VUT,2010,29.210466
Vanuatu,VUT,2015,29.516191
Vanuatu,VUT,2019,29.482485
