Entity,Code,Year,"Age-standardized deaths that are from maternal conditions per 100,000 people, in both sexes aged all ages"
Brunei,BRN,2000,0.43337798
Brunei,BRN,2010,0.20590778
Costa Rica,CRI,1961,9.28676
Costa Rica,CRI,1970,4.148201
Costa Rica,CRI,1980,0.71907336
Costa Rica,CRI,1990,0.37986508
Costa Rica,CRI,2000,0.6849253
Costa Rica,CRI,2010,0.29481143
Estonia,EST,1990,0.45954162
Estonia,EST,2000,0.39135975
Estonia,EST,2010,0.07638443
Estonia,EST,2021,0.07539258
Lithuania,LTU,1990,0.3606595
Lithuania,LTU,2000,0.0957099
Lithuania,LTU,2010,0.07330259
Lithuania,LTU,2021,0.0
Uzbekistan,UZB,1990,1.3101484
Uzbekistan,UZB,2000,0.7296443
Uzbekistan,UZB,2010,0.31723732
