Entity,Code,Year,"Death rate per 100,000 people - Cause: Lower respiratory infections - Sex: Both sexes - Age group: ALLAges"
Central African Republic,CAF,2000,167.98
Central African Republic,CAF,2005,145.92
Central African Republic,CAF,2010,148.25
Central African Republic,CAF,2015,135.5
Central African Republic,CAF,2019,110.24
Chad,TCD,2000,238.7
Chad,TCD,2005,208.54
Chad,TCD,2010,186.23
Chad,TCD,2015,173.21
Chad,TCD,2019,146.1
Somalia,SOM,2000,228.46
Somalia,SOM,2005,219.01
Somalia,SOM,2010,225.31
Somalia,SOM,2015,146.66
Somalia,SOM,2019,140.98
