Entity,Code,Year,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Afghanistan,AFG,1989,0.0,2.2205207,48.476685,0.0
Afghanistan,AFG,1992,0.0,0.74642736,35.463593,0.0
Afghanistan,AFG,1995,0.024362152,0.65168756,33.491867,0.0
Afghanistan,AFG,1998,31.362991,0.54614866,33.81255,0.0
Afghanistan,AFG,2001,2.5293782,0.0,18.579247,7.095464
Afghanistan,AFG,2004,0.22501913,0.17831704,3.0313897,0.0
Afghanistan,AFG,2007,0.43623775,0.0,26.243753,0.0
Afghanistan,AFG,2010,0.6562687,0.35119244,24.359985,0.0
Afghanistan,AFG,2013,0.20290911,0.0,25.490458,0.0
Afghanistan,AFG,2016,0.98451877,1.0538104,51.876343,0.0
Afghanistan,AFG,2019,1.0034553,0.29918325,79.16706,0.0
Afghanistan,AFG,2022,1.5487942,0.0,2.093425,0.0
Ethiopia,ETH,1989,0.74681866,0.0,39.882282,0.0
Ethiopia,ETH,1992,0.0,1.6323295,0.31723717,0.0
Ethiopia,ETH,1995,0.0,1.7398403,0.05045537,0.0
Ethiopia,ETH,1998,0.0,1.2132444,0.24549986,0.31994176
Ethiopia,ETH,2001,0.0,0.47812966,0.05795511,0.0
Ethiopia,ETH,2004,0.32403278,0.22310454,0.06640016,0.0
Ethiopia,ETH,2007,0.2865987,0.07195457,0.2158637,0.0
Ethiopia,ETH,2010,0.0,0.0,0.03473864,0.0
Ethiopia,ETH,2013,0.0,0.13184407,0.15038465,0.0
Ethiopia,ETH,2016,0.28681806,0.1690517,0.061732363,0.023743216
Ethiopia,ETH,2019,0.06922502,0.23308676,0.058709826,0.0
Ethiopia,ETH,2022,1.4637713,0.0,81.90473,0.0
Iraq,IRQ,1989,0.028665451,0.0,0.2923876,0.0
Iraq,IRQ,1992,0.8593644,1.8764602,1.8547041,0.0
Iraq,IRQ,1995,0.49167362,2.601574,3.3366978,0.0
Iraq,IRQ,1998,0.18652274,0.0,0.23423785,0.0
Iraq,IRQ,2001,0.0,0.0,0.07472764,0.0
Iraq,IRQ,2004,0.47740492,0.45227835,14.699046,0.0
Iraq,IRQ,2007,7.410796,0.5163832,7.73528,0.0
Iraq,IRQ,2010,2.360476,0.0,3.5663018,0.0
Iraq,IRQ,2013,5.9608016,0.0,5.304127,0.0
Iraq,IRQ,2016,6.209633,0.0,24.761007,0.0
Iraq,IRQ,2019,0.41623035,0.09623823,1.7371,0.0
Iraq,IRQ,2022,0.024721254,0.0,1.8158885,0.0
Mexico,MEX,1989,0.0,0.0,0.0024927165,0.0
Mexico,MEX,1992,0.0,0.0,0.0,0.0
Mexico,MEX,1995,0.0,0.0011114869,0.0,0.0
Mexico,MEX,1998,0.0,0.0,0.0,0.0
Mexico,MEX,2001,0.0,0.0,0.0,0.0
Mexico,MEX,2004,0.0,0.20395242,0.0,0.0
Mexico,MEX,2007,0.0,1.7894245,0.0,0.0
Mexico,MEX,2010,0.07375654,3.1342084,0.0,0.0
Mexico,MEX,2013,0.0,0.63858443,0.0,0.0
Mexico,MEX,2016,0.0,1.0558001,0.0,0.0
Mexico,MEX,2019,0.0,9.547084,0.0,0.0
Mexico,MEX,2022,0.06352736,11.078857,0.0,0.0
Syria,SYR,1989,0.0,0.0,0.008309719,0.0
Syria,SYR,1992,0.0,0.0,0.0,0.0
Syria,SYR,1995,0.0,0.0,0.0,0.0
Syria,SYR,1998,0.0,0.0,0.0,0.0
Syria,SYR,2001,0.0,0.0,0.0,0.0
Syria,SYR,2004,0.0,0.0,0.005529747,0.0
Syria,SYR,2007,0.0,0.0,0.0,0.0
Syria,SYR,2010,0.0,0.0,0.0,0.0
Syria,SYR,2013,15.054083,5.2661376,334.89285,0.0
Syria,SYR,2016,5.2783523,40.750355,236.33414,0.0
Syria,SYR,2019,0.68662685,16.797482,36.77434,0.68662685
Syria,SYR,2022,0.3299399,2.6937559,3.8417659,0.24858485
Ukraine,UKR,1989,0.0,0.0,0.0,0.0
Ukraine,UKR,1992,0.0,0.0,0.0,0.0
Ukraine,UKR,1995,0.0,0.0,0.0,0.0
Ukraine,UKR,1998,0.0,0.0,0.0,0.0
Ukraine,UKR,2001,0.0,0.0,0.0,0.0
Ukraine,UKR,2004,0.0,0.0,0.0,0.0
Ukraine,UKR,2007,0.0,0.0,0.0,0.0
Ukraine,UKR,2010,0.0,0.0,0.0,0.0
Ukraine,UKR,2013,0.0,0.0,0.0,0.0
Ukraine,UKR,2016,0.0,0.0,0.56653976,0.0
Ukraine,UKR,2019,0.0,0.0,0.7034432,0.0
Ukraine,UKR,2022,2.8008845,0.0,0.07304465,205.14716
