Entity,Code,Year,"Deaths that are from typhoid and paratyphoid per 100,000 people, in both sexes aged under 5"
Comoros,COM,1990,4.4387355
Comoros,COM,1995,4.1175966
Comoros,COM,2000,3.299444
Comoros,COM,2005,3.2521644
Comoros,COM,2010,3.0256069
Comoros,COM,2015,3.0201838
Comoros,COM,2019,2.2579417
Pakistan,PAK,1990,11.616008
Pakistan,PAK,1995,12.358912
Pakistan,PAK,2000,11.8328
Pakistan,PAK,2005,10.833559
Pakistan,PAK,2010,12.727259
Pakistan,PAK,2015,13.346866
Pakistan,PAK,2019,12.434207
Palestine,PSE,1990,0.8739489
Palestine,PSE,1995,0.7615215
Palestine,PSE,2000,0.6125805
Palestine,PSE,2005,0.61419463
Palestine,PSE,2010,0.57577795
Palestine,PSE,2015,0.49967933
Palestine,PSE,2019,0.43638778
Uruguay,URY,1990,0.00038917773
Uruguay,URY,1995,0.00011305648
Uruguay,URY,2000,8.437082e-05
Uruguay,URY,2005,9.8249184e-05
Uruguay,URY,2010,0.00010129528
Uruguay,URY,2015,0.00011030438
Uruguay,URY,2019,8.636711e-05
