Entity,Code,Year,"Deaths that are from all causes attributed to high fasting plasma glucose per 100,000 people, in both sexes aged age-standardized"
Guinea-Bissau,GNB,1990,116.378235
Guinea-Bissau,GNB,1995,124.79147
Guinea-Bissau,GNB,2000,133.45985
Guinea-Bissau,GNB,2005,143.77388
Guinea-Bissau,GNB,2010,151.1114
Guinea-Bissau,GNB,2015,153.35307
Guinea-Bissau,GNB,2019,151.82292
Peru,PER,1990,45.416393
Peru,PER,1995,46.380527
Peru,PER,2000,41.02778
Peru,PER,2005,37.856445
Peru,PER,2010,42.98409
Peru,PER,2015,41.371452
Peru,PER,2019,41.209835
Uganda,UGA,1990,99.13352
Uganda,UGA,1995,114.50821
Uganda,UGA,2000,124.72818
Uganda,UGA,2005,120.435905
Uganda,UGA,2010,111.62011
Uganda,UGA,2015,110.125206
Uganda,UGA,2019,107.424934
