Entity,Code,Year,"Deaths that are from all causes attributed to high fasting plasma glucose per 100,000 people, in both sexes aged all ages"
Bermuda,BMU,1990,103.2017
Bermuda,BMU,1995,95.24488
Bermuda,BMU,2000,92.53758
Bermuda,BMU,2005,90.85758
Bermuda,BMU,2010,95.875984
Bermuda,BMU,2015,114.9082
Bermuda,BMU,2019,136.50146
Botswana,BWA,1990,49.71503
Botswana,BWA,1995,61.674633
Botswana,BWA,2000,78.47424
Botswana,BWA,2005,79.72387
Botswana,BWA,2010,83.85375
Botswana,BWA,2015,90.036285
Botswana,BWA,2019,94.34594
Bulgaria,BGR,1990,145.94788
Bulgaria,BGR,1995,208.56682
Bulgaria,BGR,2000,236.9413
Bulgaria,BGR,2005,272.49854
Bulgaria,BGR,2010,291.45786
Bulgaria,BGR,2015,290.93793
Bulgaria,BGR,2019,310.4711
