Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged all ages"
Netherlands,NLD,1990,0.2831641
Netherlands,NLD,1995,0.18701996
Netherlands,NLD,2000,0.13113908
Netherlands,NLD,2005,0.07923942
Netherlands,NLD,2010,0.04922586
Netherlands,NLD,2015,0.036996227
Netherlands,NLD,2019,0.032861367
Region of the Americas (WHO),,1990,19.56707
Region of the Americas (WHO),,1995,14.820789
Region of the Americas (WHO),,2000,11.376051
Region of the Americas (WHO),,2005,9.622641
Region of the Americas (WHO),,2010,8.255176
Region of the Americas (WHO),,2015,6.8639135
Region of the Americas (WHO),,2019,5.886077
